country_iso3	country_name	year	current_interpretable	current_total_genomes	current_disrupted	current_ipw_prevalence	success_runs_reconciled	success_runs_missing_manifest	planned_only_remaining	catalog_only_remaining	rescued_interpretable	rescued_disrupted_est	reconciled_interpretable	reconciled_disrupted_est	reconciled_total_genomes_est	reconciled_ipw_prevalence_est	current_year_ge10	reconciled_year_ge10	max_attainable_interpretable	max_attainable_year_ge10	distance_to_ge10_readiness	priority_run_accessions	priority_plan_row_ids	recovery_status	manifest_backfill_required	notes	priority_rank_within_country
CHN	China	2025	0	0	0	0.0	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	11
JPN	Japan	2025	12	33	1	0.0520051314475262	0	0	0	0	0	0	12	1	33	0.08333333333333333	True	True	12	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	1
JPN	Japan	2016	1	1	0	0.0	9	9	19	0	9	0	10	0	10	0.0	False	True	29	True	0	DRR165187|DRR165188|DRR165191|DRR300265|DRR300268|DRR300272|DRR300273|DRR300276|DRR413418	gapfill_0001122|gapfill_0000734|gapfill_0001155|gapfill_0001927|gapfill_0001999|gapfill_0001962|gapfill_0001882|gapfill_0001859	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	2
JPN	Japan	2024	8	11	1	0.0362735129537009	0	0	0	0	0	0	8	1	11	0.125	False	False	8	False	2			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	3
JPN	Japan	2018	3	3	0	0.0	3	3	4	0	3	0	6	0	6	0.0	False	False	10	True	4	DRR300279|DRR413423|DRR413425	gapfill_0001868|gapfill_0001988	residual_gap_requires_planned_gapfill	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	4
JPN	Japan	2015	1	1	0	0.0	1	1	11	0	1	0	2	0	2	0.0	False	False	13	True	8	DRR413411	gapfill_0002920	residual_gap_requires_planned_gapfill	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	5
JPN	Japan	2019	1	1	0	0.0	0	0	7	0	0	0	1	0	1	0.0	False	False	8	False	9			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	6
JPN	Japan	2020	1	1	0	0.0	0	0	1	0	0	0	1	0	1	0.0	False	False	2	False	9			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	7
JPN	Japan	2017	0	0	0	0.0	0	0	1	0	0	0	0	0	0		False	False	1	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	8
JPN	Japan	2021	0	0	0	0.0	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	9
JPN	Japan	2022	0	0	0	0.0	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	10
JPN	Japan	2023	0	0	0	0.0	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	11
USA	United States	2019	108	122	83	0.7832860841247634	0	0	0	0	0	0	108	83	122	0.7685185185185185	True	True	108	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	1
USA	United States	2017	99	99	90	0.9087599860874802	0	0	0	0	0	0	99	90	99	0.9090909090909091	True	True	99	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	2
USA	United States	2016	85	86	39	0.4579395522457611	0	0	0	0	0	0	85	39	86	0.4588235294117647	True	True	85	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	3
USA	United States	2018	67	68	51	0.6889188563320617	0	0	0	0	0	0	67	51	68	0.7611940298507462	True	True	67	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	4
USA	United States	2015	63	63	46	0.7841968313216692	0	0	0	0	0	0	63	46	63	0.7301587301587301	True	True	63	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	5
USA	United States	2020	16	20	16	1.0	0	0	0	0	0	0	16	16	20	1.0	True	True	16	True	0			resolved_by_reconciliation	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	6
USA	United States	2022	1	1	0	0.0	0	0	0	0	0	0	1	0	1	0.0	False	False	1	False	9			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	7
USA	United States	2024	1	1	0	0.0	0	0	0	0	0	0	1	0	1	0.0	False	False	1	False	9			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	8
USA	United States	2025	1	1	0	0.0	0	0	0	0	0	0	1	0	1	0.0	False	False	1	False	9			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	9
USA	United States	2021	0	0	0	0.6889188563320617	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	10
USA	United States	2023	0	0	0	0.6889188563320617	0	0	0	0	0	0	0	0	0		False	False	0	False	10			residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered	11
