country_iso3	country_name	n_retained_genomes	n_prn_interpretable	interpretability_fraction	n_prn_disrupted	disrupted_fraction_within_interpretable	n_prn_intact	n_prn_uninterpretable_or_uncertain	n_disrupted_is481	n_disrupted_rearrangement	n_disrupted_other	is481_fraction_within_disrupted	rearrangement_fraction_within_disrupted	other_fraction_within_disrupted	dominant_disrupted_mechanism	mechanism_composition_basis	source_file	notes
GTM	Guatemala	5	5	1.000000	0	0.000000	5	0	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	no_disrupted_genomes
HKG	Hong Kong	5	0	0.000000	0		0	5	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
HTI	Haiti	1	1	1.000000	0	0.000000	1	0	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes
IND	India	11	7	0.636364	0	0.000000	7	4	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	no_disrupted_genomes
ITA	Italy	15	0	0.000000	0		0	15	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
JPN	Japan	87	56	0.643678	7	0.125000	49	31	2	0	0	0.285714	0.000000	0.000000	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
KEN	Kenya	12	0	0.000000	0		0	12	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
MEX	Mexico	4	0	0.000000	0		0	4	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
NLD	Netherlands	26	6	0.230769	1	0.166667	5	20	1	0	0	1.000000	0.000000	0.000000	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_disrupted_n;interpretability_below_half_of_country_records
NOR	Norway	1	1	1.000000	0	0.000000	1	0	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes
NZL	New Zealand	63	63	1.000000	23	0.365079	40	0	20	1	2	0.869565	0.043478	0.086957	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
PER	Peru	6	0	0.000000	0		0	6	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
POL	Poland	8	0	0.000000	0		0	8	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
RUS	Russia	2	0	0.000000	0		0	2	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
SWE	Sweden	20	2	0.100000	1	0.500000	1	18	0	1	0	0.000000	1.000000	0.000000	Inversion / rearrangement	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;low_disrupted_n;interpretability_below_half_of_country_records
TWN	Taiwan	23	0	0.000000	0		0	23	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	low_interpretable_n;no_disrupted_genomes;interpretability_below_half_of_country_records
USA	United States	958	930	0.970772	535	0.575269	395	28	338	168	12	0.631776	0.314019	0.022430	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
ZAF	South Africa	32	31	0.968750	0	0.000000	31	1	0	0	0				none_observed	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	no_disrupted_genomes
unknown	unknown	53	38	0.716981	7	0.184211	31	15	6	0	1	0.857143	0.000000	0.142857	IS481 insertion	interpretable_disrupted_genomes_only	outputs/workflow/manifest/manifest.tsv	
