analysis_panel	country_iso3	country_name	period_label	period_start	period_end	n_years_observed	response_n_genomes_prn_interpretable	response_n_prn_disrupted	response_ipw_prevalence	response_naive_prevalence	response_boundary_lower_prevalence	response_boundary_upper_prevalence	reported_cases_period	genomes_per_case_effective	program_formulation_class_concurrent	program_formulation_class_lagged	lagged_class_available	transition_period_flag	transition_period_type	unique_program_classes_within_period	share_years_prn_positive_within_period	n_new_origins_detected_period	n_active_origin_clades_period	years_since_first_local_origin	years_since_first_prn_detection	formulation_confidence_period	period_contains_conflict	dominant_exposure_precedence_rule	country_row_share	primary_panel_eligible	exclusion_reason	notes
programme_country_period_5y	ATG	Antigua and Barbuda	2000-2004	2000	2004	5	0	0					0.0		wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	ATG	Antigua and Barbuda	2005-2009	2005	2009	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	ATG	Antigua and Barbuda	2010-2014	2010	2014	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	ATG	Antigua and Barbuda	2015-2019	2015	2019	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	ATG	Antigua and Barbuda	2020-2024	2020	2024	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AUS	Australia	2000-2004	2000	2004	5	0	0			0.0	1.0	34540.0	0.0002605674580196	routine_ap_unknown		False	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition;reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUS	Australia	2005-2009	2005	2009	5	1	0	0.0	0.0	0.0	0.75	60636.0	6.596741209842338e-05	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	below_interpretable_threshold_5	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUS	Australia	2010-2014	2010	2014	5	1	1	1.0	1.0	0.5	1.0	120341.0	1.6619439758685736e-05	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0		3.0		False	program_metadata_only_fallback	0.0	False	below_interpretable_threshold_5	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUS	Australia	2015-2019	2015	2019	5	1	0	0.0	0.0	0.0	0.0	79235.0	1.2620685303211964e-05	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0		8.0		False	program_metadata_only_fallback	0.0	False	below_interpretable_threshold_5	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUS	Australia	2020-2024	2020	2024	5	2	2	1.0	1.0	1.0	1.0	64095.0	3.120368203448007e-05	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0		13.0		False	program_metadata_only_fallback	0.0	False	below_interpretable_threshold_5	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUT	Austria	1995-1999	1995	1999	2	0	0					0.0		unknown		False	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AUT	Austria	2000-2004	2000	2004	5	0	0					820.0	0.0	wp_only_or_pre_ap	unknown	True	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUT	Austria	2005-2009	2005	2009	5	0	0					701.0	0.0	routine_ap_unknown	wp_only_or_pre_ap	True	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition;reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUT	Austria	2010-2014	2010	2014	5	0	0					1664.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUT	Austria	2015-2019	2015	2019	5	0	0					7690.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AUT	Austria	2020-2024	2020	2024	5	0	0					19206.0	0.0	routine_ap_unknown	routine_ap_unknown	True	False		routine_ap_unknown	0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AZE	Azerbaijan	2000-2004	2000	2004	5	0	0					29.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AZE	Azerbaijan	2005-2009	2005	2009	5	0	0					84.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AZE	Azerbaijan	2010-2014	2010	2014	5	0	0					64.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	AZE	Azerbaijan	2015-2019	2015	2019	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	AZE	Azerbaijan	2020-2024	2020	2024	5	0	0					3.0	0.0	wp_only_or_pre_ap	wp_only_or_pre_ap	True	True	ap_vs_wp_transition	routine_ap_unknown,wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	transition_period_flag=ap_vs_wp_transition;reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	BDI	Burundi	2000-2004	2000	2004	5	0	0					226.0	0.0	wp_only_or_pre_ap		False	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
programme_country_period_5y	BDI	Burundi	2005-2009	2005	2009	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	BDI	Burundi	2010-2014	2010	2014	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	BDI	Burundi	2015-2019	2015	2019	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	BDI	Burundi	2020-2024	2020	2024	5	0	0					0.0		wp_only_or_pre_ap	wp_only_or_pre_ap	True	False		wp_only_or_pre_ap	0.0	0	0			medium	False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	BEL	Belgium	1995-1999	1995	1999	3	0	0					0.0		unknown		False	False			0.0	0	0				False	program_metadata_only_fallback	0.0	False	missing_ipw_response	
programme_country_period_5y	BEL	Belgium	2000-2004	2000	2004	5	0	0					210.0	0.0	wp_only_or_pre_ap	unknown	True	False		wp_only_or_pre_ap	0.0	0	0				False	program_phase_inferred_fallback	0.0	False	missing_ipw_response	reported_cases_aggregated_across_full_period_including_zero_genome_years
