analysis_cohort	source_table	amu_metric	country_iso3	year	n_genomes_prn_interpretable	n_prn_disrupted	reported_cases	dtp3_coverage	amu_value	country_filter	year_window	run_status	notes
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	CZE	2008	2	0	767.000000	99.000000	3.141612	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	CZE	2012	3	0	738.000000	99.120000	3.238711	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	CZE	2014	2	0	2521.000000	97.150000	3.513715	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	CZE	2015	1	0	585.000000	97.000000	3.668043	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	ESP	2010	1	0	739.000000	96.600000	1.879843	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	FRA	2014	2	0	84.000000	92.000000	2.164113	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	FRA	2024	3	0	464.000000	96.000000	2.208685	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	GBR	2012	3	0	11980.000000	95.000000	3.070455	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	NOR	2009	1	0	5546.000000	94.000000	1.505723	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	SWE	2009	2	1	281.000000	98.400000	0.459159	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	ZAF	2018	3	0	955.000000	82.140000	1.570039	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	ZAF	2019	3	0	557.000000	85.000000	2.396113	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	CZE	2008	2	0	767.000000	99.000000	15.867157	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	CZE	2012	3	0	738.000000	99.120000	15.658194	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	CZE	2014	2	0	2521.000000	97.150000	17.113964	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	CZE	2015	1	0	585.000000	97.000000	17.369766	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	ESP	2010	1	0	739.000000	96.600000	15.936822	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	FRA	2014	2	0	84.000000	92.000000	24.914081	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	FRA	2024	3	0	464.000000	96.000000	26.513344	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	GBR	2012	3	0	11980.000000	95.000000	18.230664	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	NOR	2009	1	0	5546.000000	94.000000	16.300455	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	SWE	2009	2	1	281.000000	98.400000	15.107418	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	ZAF	2018	3	0	955.000000	82.140000	20.303118	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	ZAF	2019	3	0	557.000000	85.000000	44.143661	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	CZE	2008	2	0	767.000000	99.000000	3.141612	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	CZE	2012	4	0	738.000000	99.120000	3.238711	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	CZE	2014	2	0	2521.000000	97.150000	3.513715	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	CZE	2015	1	0	585.000000	97.000000	3.668043	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	ESP	2010	1	0	739.000000	96.600000	1.879843	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	FRA	2014	2	0	84.000000	92.000000	2.164113	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	FRA	2024	6	0	464.000000	96.000000	2.208685	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	GBR	2012	8	0	11980.000000	95.000000	3.070455	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	NOR	2009	1	0	5546.000000	94.000000	1.505723	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	SWE	2009	2	1	281.000000	98.400000	0.459159	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	ZAF	2018	3	0	955.000000	82.140000	1.570039	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	ZAF	2019	3	0	557.000000	85.000000	2.396113	exact_overlap_rows_with_macrolide_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	CZE	2008	2	0	767.000000	99.000000	15.867157	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	CZE	2012	4	0	738.000000	99.120000	15.658194	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	CZE	2014	2	0	2521.000000	97.150000	17.113964	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	CZE	2015	1	0	585.000000	97.000000	17.369766	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	ESP	2010	1	0	739.000000	96.600000	15.936822	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	FRA	2014	2	0	84.000000	92.000000	24.914081	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	FRA	2024	6	0	464.000000	96.000000	26.513344	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	GBR	2012	8	0	11980.000000	95.000000	18.230664	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	NOR	2009	1	0	5546.000000	94.000000	16.300455	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	SWE	2009	2	1	281.000000	98.400000	15.107418	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	ZAF	2018	3	0	955.000000	82.140000	20.303118	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	ZAF	2019	3	0	557.000000	85.000000	44.143661	exact_overlap_rows_with_total_antibiotic_use_ddd_per_1000_per_day_and_complete_core_covariates	2008-2024	ridge_path_fit	exact_overlap_row_with_complete_core_covariates_and_non_null_amu
