country_iso3	country_name	analysis_role	year	age_group_projected	cases	harmonization_status	source_bins_used	source_bins_available	year_complete_exact	source_sheet	source_file	notes
CHN	China	high_risk_control	2018	5-14	2148.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	0-1	16743.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	1-4	9667.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	15+	360.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2019	5-14	3257.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	0-1	2315.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	1-4	1473.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	15+	72.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2020	5-14	615.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	0-1	3245.0	exact_single_bin	0-0	0-0|1-1|10-14|15+|2-2|3-3|4-4|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	1-4	2787.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15+|2-2|3-3|4-4|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	15+	160.0	exact_single_bin	15+	0-0|1-1|10-14|15+|2-2|3-3|4-4|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2021	5-14	3419.0	exact_multi_bin_sum	5-9|10-14	0-0|1-1|10-14|15+|2-2|3-3|4-4|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	0-1	11936.0	exact_single_bin	0-0	0-0|1-4|10-14|15+|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	1-4	8233.0	exact_single_bin	1-4	0-0|1-4|10-14|15+|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	15+	647.0	exact_single_bin	15+	0-0|1-4|10-14|15+|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2022	5-14	17479.0	exact_multi_bin_sum	5-9|10-14	0-0|1-4|10-14|15+|5-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2023	0-1	15684.0	exact_single_bin	0-0	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2023	1-4	8337.0	exact_multi_bin_sum	1-1|2-2|3-3|4-4	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2023	15+	1101.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70-74|75-79|80-84|85+	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2023	5-14	18429.0	exact_multi_bin_sum	5-5|6-6|7-7|8-8|9-9|10-14	0-0|1-1|10-14|15-19|2-2|20-24|25-29|3-3|30-34|35-39|4-4|40-44|45-49|5-5|50-54|55-59|6-6|60-64|65-69|7-7|70-74|75-79|8-8|80-84|85+|9-9	True	CN	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	0-1	619.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	1-4	614.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	15+	3401.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	5-14	7481.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	0-1	878.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	1-4	815.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	15+	4807.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	5-14	10345.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	0-1	162.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	1-4	189.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	15+	1059.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	5-14	1409.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	0-1	30.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	1-4	175.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	15+	333.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	5-14	169.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	0-1	28.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	1-4	103.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	15+	230.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	5-14	130.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	0-1	35.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	1-4	205.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	15+	361.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	5-14	399.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	0-1	140.0	exact_single_bin	00-00	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	1-4	302.0	exact_single_bin	1-4	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	15+	1373.0	exact_multi_bin_sum	15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|60-64|65-69|70+	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	5-14	2265.0	exact_multi_bin_sum	5-9|10-14	00-00|1-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|5-9|50-54|55-59|60-64|65-69|70+	True	JP	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	0-1	2672.0	exact_single_bin	00-00	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	1-4	2806.0	exact_single_bin	01-04	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	15+	8376.0	exact_multi_bin_sum	15-24|25-39|40-64|65+	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	5-14	6870.0	exact_single_bin	05-14	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	0-1	2020.0	exact_single_bin	00-00	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	1-4	2435.0	exact_single_bin	01-04	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	15+	7654.0	exact_multi_bin_sum	15-24|25-39|40-64|65+	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	5-14	5833.0	exact_single_bin	05-14	00-00|01-04|05-14|15-24|25-39|40-64|65+	True	US	modules/public_health/inputs/raw/report_cases/Pertussis case year age.xlsx	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
