country_iso3	period	metric_name	n_total_genomes	n_metric_denominator	n_positive	fraction_positive	notes
TWN	<=2019	prn2_or_prn150	23.0	6.0	0.0	0.0	
TWN	<=2019	ptxP3	23.0	9.0	7.0	0.7777777777777778	
TWN	<=2019	23S_A2047G_MR	23.0	9.0	0.0	0.0	
USA	2020-2023	PRN-deficient	21.0	21.0	20.0	0.9523809523809523	
USA	2020-2023	prn2_or_prn150	21.0	1.0	1.0	1.0	
USA	2020-2023	ptxP3	21.0	21.0	21.0	1.0	
USA	2020-2023	23S_A2047G_MR	21.0	21.0	0.0	0.0	
USA	<=2019	PRN-deficient	928.0	922.0	534.0	0.579175704989154	
USA	<=2019	prn2_or_prn150	928.0	341.0	311.0	0.9120234604105572	
USA	<=2019	ptxP3	928.0	906.0	874.0	0.9646799116997793	
USA	<=2019	23S_A2047G_MR	928.0	911.0	0.0	0.0	
ZAF	<=2019	PRN-deficient	32.0	32.0	0.0	0.0	
ZAF	<=2019	prn2_or_prn150	32.0	32.0	32.0	1.0	
ZAF	<=2019	ptxP3	32.0	32.0	32.0	1.0	
ZAF	<=2019	23S_A2047G_MR	32.0	32.0	0.0	0.0	
	post_pandemic_summary	23S_A2047G_MR					heterogeneous_post_pandemic_trajectories
	post_pandemic_summary	PRN-deficient					heterogeneous_post_pandemic_trajectories
