clade_id	phylo_tree_id	n_samples	n_countries	first_year	last_year	major_country	major_lineage	major_mlst_st	dominant_prn_mechanism	disrupted_fraction	read_supported_fraction	sister_clade_id	clade_growth_summary	notes
node_000127	balanced_main_tree	1	1	2024	2024	JPN		2	coding_disrupted_is481	1.000000	0.000000	node_000128	single_year;years=2024-2024;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0005;descendant_tip_ids=1;validation_rows_in_clade=1;origin_support_score=1.000000
node_000136	balanced_main_tree	1	1	2013	2013	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000135	single_year;years=2013-2013;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0006;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000168	balanced_main_tree	1	1	2020	2020	USA		83	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000167	single_year;years=2020-2020;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0008;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000171	balanced_main_tree	1	1	2009	2009	FRA		2	coding_disrupted_is481	1.000000	0.000000	node_000172	single_year;years=2009-2009;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0009;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000184	balanced_main_tree	1	1	2016	2016	USA		83	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000183	single_year;years=2016-2016;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0010;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000188	balanced_main_tree	1	1	2017	2017	USA		2	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000187	single_year;years=2017-2017;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0011;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000191	balanced_main_tree	1	1	2024	2024	BRA		2	coding_disrupted_is481	1.000000	0.000000	node_000192	single_year;years=2024-2024;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0012;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000219	balanced_main_tree	1	1	2017	2017	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000220	single_year;years=2017-2017;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0014;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000226	balanced_main_tree	1	1	2018	2018	NZL		2	coding_disrupted_other	1.000000	0.000000	node_000225	single_year;years=2018-2018;countries=1;mechanism=coding_disrupted_other	origin_id_linked=origin_0015;descendant_tip_ids=1;validation_rows_in_clade=1;origin_support_score=1.000000
node_000229	balanced_main_tree	1	1	2024	2024	BRA		2	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000230	single_year;years=2024-2024;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0016;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000258	balanced_main_tree	1	1	2018	2018	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000257	single_year;years=2018-2018;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0017;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000275	balanced_main_tree	1	1	2018	2018	USA		2	coding_disrupted_other	1.000000	0.000000	node_000276	single_year;years=2018-2018;countries=1;mechanism=coding_disrupted_other	origin_id_linked=origin_0019;descendant_tip_ids=1;validation_rows_in_clade=1;origin_support_score=1.000000
node_000289	balanced_main_tree	1	1	2025	2025	JPN		2	coding_disrupted_is481	1.000000	0.000000	node_000290	single_year;years=2025-2025;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0021;descendant_tip_ids=1;validation_rows_in_clade=1;origin_support_score=1.000000
node_000293	balanced_main_tree	1	1	2015	2015	NZL		2	coding_disrupted_other	1.000000	0.000000	node_000294	single_year;years=2015-2015;countries=1;mechanism=coding_disrupted_other	origin_id_linked=origin_0022;descendant_tip_ids=1;validation_rows_in_clade=1;origin_support_score=1.000000
node_000310	balanced_main_tree	1	1	2014	2014	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000309	single_year;years=2014-2014;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0023;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000320	balanced_main_tree	1	1	2019	2019	USA		2	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000319	single_year;years=2019-2019;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0024;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000335	balanced_main_tree	1	1	2018	2018	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000336	single_year;years=2018-2018;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0025;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000340	balanced_main_tree	1	1			USA		2	coding_disrupted_is481	1.000000	0.000000	node_000339	undated_clade;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0026;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000342	balanced_main_tree	1	1	2020	2020	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000343	single_year;years=2020-2020;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0027;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000370	balanced_main_tree	1	1	2012	2012	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000371	single_year;years=2012-2012;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0028;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000388	balanced_main_tree	1	1	2009	2009	SWE		2	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000389	single_year;years=2009-2009;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0029;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000404	balanced_main_tree	1	1	2014	2014	NZL		2	coding_disrupted_is481	1.000000	0.000000	node_000405	single_year;years=2014-2014;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0030;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000416	balanced_main_tree	1	1	2017	2017	USA		2	coding_disrupted_is481	1.000000	0.000000	node_000417	single_year;years=2017-2017;countries=1;mechanism=coding_disrupted_is481	origin_id_linked=origin_0031;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
node_000440	balanced_main_tree	1	1	2018	2018	USA		83	coding_disrupted_inversion_or_rearrangement	1.000000	0.000000	node_000441	single_year;years=2018-2018;countries=1;mechanism=coding_disrupted_inversion_or_rearrangement	origin_id_linked=origin_0033;descendant_tip_ids=1;validation_rows_in_clade=0;origin_support_score=1.000000
