country_iso3	year	country_year_key	n_genomes_total	n_genomes_prn_interpretable	n_prn_intact	n_prn_disrupted	n_prn_uncertain_fragmented	n_prn_insufficient	n_prn_disrupted_assembly_high	n_prn_disrupted_assembly_moderate	n_prn_disrupted_assembly_low	frac_prn_disrupted	frac_prn_disrupted_ci_lower	frac_prn_disrupted_ci_upper	frac_prn_disrupted_n
CHN	2001	CHN|2001	1	0	0	0	1	0	0	0	0				0
CHN	2013	CHN|2013	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
CHN	2014	CHN|2014	4	4	4	0	0	0	0	0	0	0.000000	0.000000	0.489900	4
CHN	2015	CHN|2015	9	8	8	0	1	0	0	0	0	0.000000	0.000000	0.324416	8
CHN	2016	CHN|2016	10	10	10	0	0	0	0	0	0	0.000000	0.000000	0.277540	10
CHN	2017	CHN|2017	3	1	1	0	1	1	0	0	0	0.000000	0.000000	0.793457	1
CHN	2018	CHN|2018	34	33	33	0	1	0	0	0	0	0.000000	0.000000	0.104273	33
CHN	2019	CHN|2019	93	85	85	0	7	1	0	0	0	0.000000	0.000000	0.043241	85
CHN	2020	CHN|2020	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
CHN	2021	CHN|2021	60	56	56	0	0	4	0	0	0	0.000000	0.000000	0.064196	56
CHN	2022	CHN|2022	64	60	50	10	1	3	0	0	0	0.166667	0.093131	0.280319	60
CHN	2023	CHN|2023	59	52	49	3	6	1	0	0	0	0.057692	0.019814	0.156428	52
CHN	2024	CHN|2024	506	397	397	0	100	9	0	0	0	0.000000	0.000000	0.009584	397
CZE	1954	CZE|1954	5	5	5	0	0	0	0	0	0	0.000000	0.000000	0.434491	5
CZE	2008	CZE|2008	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
CZE	2012	CZE|2012	4	4	4	0	0	0	0	0	0	0.000000	0.000000	0.489900	4
CZE	2014	CZE|2014	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
CZE	2015	CZE|2015	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	1962	DNK|1962	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	1968	DNK|1968	1	0	0	0	1	0	0	0	0				0
DNK	1974	DNK|1974	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	2001	DNK|2001	3	1	1	0	2	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	2002	DNK|2002	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	2005	DNK|2005	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
DNK	2007	DNK|2007	1	0	0	0	1	0	0	0	0				0
ESP	2010	ESP|2010	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
ESP	2023	ESP|2023	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
ESP	2024	ESP|2024	5	4	4	0	1	0	0	0	0	0.000000	0.000000	0.489900	4
FIN	1953	FIN|1953	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FIN	1964	FIN|1964	1	0	0	0	1	0	0	0	0				0
FIN	1965	FIN|1965	1	0	0	0	1	0	0	0	0				0
FIN	1977	FIN|1977	1	0	0	0	0	1	0	0	0				0
FIN	1982	FIN|1982	1	0	0	0	0	1	0	0	0				0
FIN	1991	FIN|1991	1	0	0	0	1	0	0	0	0				0
FIN	1994	FIN|1994	1	0	0	0	0	1	0	0	0				0
FIN	1996	FIN|1996	1	0	0	0	1	0	0	0	0				0
FIN	1999	FIN|1999	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FIN	2002	FIN|2002	1	0	0	0	1	0	0	0	0				0
FIN	2003	FIN|2003	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
FIN	2004	FIN|2004	1	0	0	0	1	0	0	0	0				0
FIN	2006	FIN|2006	3	0	0	0	1	2	0	0	0				0
FIN	2014	FIN|2014	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
FIN	2016	FIN|2016	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
FRA	1993	FRA|1993	2	0	0	0	1	1	0	0	0				0
FRA	1995	FRA|1995	1	0	0	0	1	0	0	0	0				0
FRA	1996	FRA|1996	1	0	0	0	0	1	0	0	0				0
FRA	1999	FRA|1999	1	0	0	0	1	0	0	0	0				0
FRA	2000	FRA|2000	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FRA	2002	FRA|2002	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FRA	2004	FRA|2004	2	0	0	0	1	1	0	0	0				0
FRA	2005	FRA|2005	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FRA	2007	FRA|2007	2	1	1	0	0	1	0	0	0	0.000000	0.000000	0.793457	1
FRA	2008	FRA|2008	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
FRA	2009	FRA|2009	1	1	0	1	0	0	0	0	0	1.000000	0.206543	1.000000	1
FRA	2014	FRA|2014	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
FRA	2024	FRA|2024	6	6	6	0	0	0	0	0	0	0.000000	0.000000	0.390343	6
GBR	1920	GBR|1920	1	0	0	0	0	1	0	0	0				0
GBR	1942	GBR|1942	1	0	0	0	0	1	0	0	0				0
GBR	1946	GBR|1946	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	1947	GBR|1947	1	0	0	0	1	0	0	0	0				0
GBR	1949	GBR|1949	1	0	0	0	0	1	0	0	0				0
GBR	1950	GBR|1950	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	1964	GBR|1964	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	1967	GBR|1967	5	4	4	0	0	1	0	0	0	0.000000	0.000000	0.489900	4
GBR	1979	GBR|1979	1	0	0	0	0	1	0	0	0				0
GBR	1982	GBR|1982	2	1	1	0	0	1	0	0	0	0.000000	0.000000	0.793457	1
GBR	1983	GBR|1983	1	0	0	0	1	0	0	0	0				0
GBR	1998	GBR|1998	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	2001	GBR|2001	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	2003	GBR|2003	1	0	0	0	1	0	0	0	0				0
GBR	2004	GBR|2004	1	0	0	0	1	0	0	0	0				0
GBR	2005	GBR|2005	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
GBR	2006	GBR|2006	1	0	0	0	1	0	0	0	0				0
GBR	2007	GBR|2007	2	0	0	0	1	1	0	0	0				0
GBR	2008	GBR|2008	2	0	0	0	0	2	0	0	0				0
GBR	2012	GBR|2012	8	8	8	0	0	0	0	0	0	0.000000	0.000000	0.324416	8
GTM	2014	GTM|2014	5	5	5	0	0	0	0	0	0	0.000000	0.000000	0.434491	5
HKG	2002	HKG|2002	3	0	0	0	0	3	0	0	0				0
HKG	2004	HKG|2004	1	0	0	0	0	1	0	0	0				0
HKG	2006	HKG|2006	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
HTI	2014	HTI|2014	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
IND	1977	IND|1977	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
IND	2017	IND|2017	4	2	2	0	0	2	0	0	0	0.000000	0.000000	0.657628	2
IND	2018	IND|2018	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
IND	2019	IND|2019	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
IND	2023	IND|2023	1	0	0	0	0	1	0	0	0				0
ITA	1994	ITA|1994	12	2	2	0	5	5	0	0	0	0.000000	0.000000	0.657628	2
ITA	1995	ITA|1995	2	0	0	0	2	0	0	0	0				0
ITA	2014	ITA|2014	1	0	0	0	1	0	0	0	0				0
JPN	1950	JPN|1950	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1954	JPN|1954	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
JPN	1988	JPN|1988	1	0	0	0	1	0	0	0	0				0
JPN	1991	JPN|1991	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1992	JPN|1992	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1994	JPN|1994	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1995	JPN|1995	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1996	JPN|1996	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	1998	JPN|1998	1	0	0	0	0	1	0	0	0				0
JPN	1999	JPN|1999	3	2	2	0	1	0	0	0	0	0.000000	0.000000	0.657628	2
JPN	2001	JPN|2001	2	1	1	0	0	1	0	0	0	0.000000	0.000000	0.793457	1
JPN	2002	JPN|2002	1	0	0	0	0	1	0	0	0				0
JPN	2003	JPN|2003	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2004	JPN|2004	4	2	2	0	1	1	0	0	0	0.000000	0.000000	0.657628	2
JPN	2006	JPN|2006	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
JPN	2007	JPN|2007	1	0	0	0	1	0	0	0	0				0
JPN	2008	JPN|2008	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2009	JPN|2009	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2010	JPN|2010	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
JPN	2011	JPN|2011	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
JPN	2012	JPN|2012	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2015	JPN|2015	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2016	JPN|2016	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2018	JPN|2018	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
JPN	2019	JPN|2019	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2020	JPN|2020	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
JPN	2024	JPN|2024	11	11	10	1	0	0	0	0	0	0.090909	0.016232	0.377365	11
JPN	2025	JPN|2025	33	28	27	1	5	0	0	0	0	0.035714	0.006332	0.177126	28
KEN	1975	KEN|1975	12	2	1	1	3	7	0	0	0	0.500000	0.094529	0.905471	2
MEX	2008	MEX|2008	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
MEX	2009	MEX|2009	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
MEX	2012	MEX|2012	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
MEX	2014	MEX|2014	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NLD	1949	NLD|1949	1	0	0	0	0	1	0	0	0				0
NLD	1950	NLD|1950	3	0	0	0	0	3	0	0	0				0
NLD	1952	NLD|1952	1	0	0	0	1	0	0	0	0				0
NLD	1954	NLD|1954	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NLD	1965	NLD|1965	1	0	0	0	0	1	0	0	0				0
NLD	1976	NLD|1976	1	0	0	0	0	1	0	0	0				0
NLD	1977	NLD|1977	2	1	1	0	0	1	0	0	0	0.000000	0.000000	0.793457	1
NLD	1982	NLD|1982	1	0	0	0	0	1	0	0	0				0
NLD	1988	NLD|1988	1	0	0	0	0	1	0	0	0				0
NLD	1990	NLD|1990	1	0	0	0	1	0	0	0	0				0
NLD	1991	NLD|1991	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NLD	1996	NLD|1996	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NLD	1999	NLD|1999	3	2	2	0	0	1	0	0	0	0.000000	0.000000	0.657628	2
NLD	2000	NLD|2000	3	0	0	0	1	2	0	0	0				0
NLD	2001	NLD|2001	1	0	0	0	0	1	0	0	0				0
NLD	2010	NLD|2010	2	2	1	1	0	0	0	0	0	0.500000	0.094529	0.905471	2
NLD	2012	NLD|2012	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NOR	2009	NOR|2009	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1983	NZL|1983	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1984	NZL|1984	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1985	NZL|1985	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1987	NZL|1987	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1988	NZL|1988	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1989	NZL|1989	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1990	NZL|1990	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1991	NZL|1991	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1993	NZL|1993	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1994	NZL|1994	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1997	NZL|1997	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	1999	NZL|1999	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	2000	NZL|2000	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	2001	NZL|2001	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	2002	NZL|2002	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2003	NZL|2003	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	2004	NZL|2004	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2005	NZL|2005	4	4	4	0	0	0	0	0	0	0.000000	0.000000	0.489900	4
NZL	2006	NZL|2006	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2007	NZL|2007	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2008	NZL|2008	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2009	NZL|2009	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
NZL	2010	NZL|2010	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2011	NZL|2011	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
NZL	2012	NZL|2012	10	10	0	10	0	0	0	0	0	1.000000	0.722460	1.000000	10
NZL	2013	NZL|2013	2	2	0	2	0	0	0	0	0	1.000000	0.342372	1.000000	2
NZL	2014	NZL|2014	2	2	0	2	0	0	0	0	0	1.000000	0.342372	1.000000	2
NZL	2015	NZL|2015	2	2	1	1	0	0	0	0	0	0.500000	0.094529	0.905471	2
NZL	2016	NZL|2016	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
NZL	2017	NZL|2017	7	7	1	6	0	0	0	0	0	0.857143	0.486865	0.974321	7
NZL	2018	NZL|2018	3	3	1	2	0	0	0	0	0	0.666667	0.207655	0.938510	3
POL	1963	POL|1963	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
POL	1968	POL|1968	1	0	0	0	0	1	0	0	0				0
POL	1974	POL|1974	2	0	0	0	2	0	0	0	0				0
POL	1995	POL|1995	1	0	0	0	0	1	0	0	0				0
POL	1997	POL|1997	1	0	0	0	1	0	0	0	0				0
POL	1999	POL|1999	1	0	0	0	1	0	0	0	0				0
POL	2000	POL|2000	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
RUS	2001	RUS|2001	1	0	0	0	0	1	0	0	0				0
RUS	2002	RUS|2002	1	0	0	0	0	1	0	0	0				0
SWE	1956	SWE|1956	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
SWE	1970	SWE|1970	4	3	3	0	1	0	0	0	0	0.000000	0.000000	0.561506	3
SWE	1971	SWE|1971	1	0	0	0	0	1	0	0	0				0
SWE	1986	SWE|1986	1	0	0	0	0	1	0	0	0				0
SWE	1998	SWE|1998	1	0	0	0	1	0	0	0	0				0
SWE	1999	SWE|1999	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
SWE	2000	SWE|2000	1	0	0	0	1	0	0	0	0				0
SWE	2002	SWE|2002	1	0	0	0	1	0	0	0	0				0
SWE	2004	SWE|2004	5	1	1	0	3	1	0	0	0	0.000000	0.000000	0.793457	1
SWE	2006	SWE|2006	1	0	0	0	1	0	0	0	0				0
SWE	2009	SWE|2009	2	2	1	1	0	0	0	0	0	0.500000	0.094529	0.905471	2
TWN	1992	TWN|1992	2	0	0	0	0	2	0	0	0				0
TWN	1997	TWN|1997	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
TWN	1998	TWN|1998	2	0	0	0	0	2	0	0	0				0
TWN	1999	TWN|1999	3	0	0	0	0	3	0	0	0				0
TWN	2000	TWN|2000	2	0	0	0	0	2	0	0	0				0
TWN	2003	TWN|2003	4	0	0	0	1	3	0	0	0				0
TWN	2004	TWN|2004	1	0	0	0	0	1	0	0	0				0
TWN	2005	TWN|2005	3	1	1	0	1	1	0	0	0	0.000000	0.000000	0.793457	1
TWN	2006	TWN|2006	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
TWN	2007	TWN|2007	3	2	2	0	1	0	0	0	0	0.000000	0.000000	0.657628	2
USA	1935	USA|1935	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
USA	1939	USA|1939	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
USA	1946	USA|1946	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
USA	1947	USA|1947	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
USA	1952	USA|1952	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
USA	1955	USA|1955	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
USA	1977	USA|1977	4	3	3	0	1	0	0	0	0	0.000000	0.000000	0.561506	3
USA	1978	USA|1978	1	0	0	0	1	0	0	0	0				0
USA	1986	USA|1986	1	0	0	0	0	1	0	0	0				0
USA	1993	USA|1993	3	1	1	0	1	1	0	0	0	0.000000	0.000000	0.793457	1
USA	1995	USA|1995	3	2	2	0	1	0	0	0	0	0.000000	0.000000	0.657628	2
USA	1997	USA|1997	2	1	1	0	1	0	0	0	0	0.000000	0.000000	0.793457	1
USA	1998	USA|1998	2	1	1	0	0	1	0	0	0	0.000000	0.000000	0.793457	1
USA	1999	USA|1999	5	2	2	0	1	2	0	0	0	0.000000	0.000000	0.657628	2
USA	2000	USA|2000	19	17	17	0	1	1	0	0	0	0.000000	0.000000	0.184324	17
USA	2001	USA|2001	12	10	10	0	1	1	0	0	0	0.000000	0.000000	0.277540	10
USA	2002	USA|2002	13	12	12	0	0	1	0	0	0	0.000000	0.000000	0.242501	12
USA	2003	USA|2003	13	11	10	1	0	2	0	0	0	0.090909	0.016232	0.377365	11
USA	2004	USA|2004	9	7	7	0	0	2	0	0	0	0.000000	0.000000	0.354339	7
USA	2005	USA|2005	14	12	12	0	2	0	0	0	0	0.000000	0.000000	0.242501	12
USA	2006	USA|2006	2	2	2	0	0	0	0	0	0	0.000000	0.000000	0.657628	2
USA	2007	USA|2007	8	8	8	0	0	0	0	0	0	0.000000	0.000000	0.324416	8
USA	2008	USA|2008	5	5	5	0	0	0	0	0	0	0.000000	0.000000	0.434491	5
USA	2009	USA|2009	8	8	7	1	0	0	0	0	0	0.125000	0.022417	0.470895	8
USA	2010	USA|2010	38	38	34	4	0	0	0	0	0	0.105263	0.041702	0.241308	38
USA	2011	USA|2011	44	42	28	14	2	0	0	0	0	0.333333	0.210123	0.484478	42
USA	2012	USA|2012	87	82	43	39	3	2	0	0	0	0.475610	0.371048	0.582355	82
USA	2013	USA|2013	56	54	14	40	2	0	0	0	0	0.740741	0.610689	0.838815	54
USA	2014	USA|2014	130	122	42	80	7	1	0	0	0	0.655738	0.567833	0.734134	122
USA	2015	USA|2015	63	61	17	44	2	0	0	0	0	0.721311	0.598283	0.818116	61
USA	2016	USA|2016	86	85	46	39	0	1	0	0	0	0.458824	0.356970	0.564239	85
USA	2017	USA|2017	99	99	9	90	0	0	0	0	0	0.909091	0.836184	0.951435	99
USA	2018	USA|2018	68	66	16	50	2	0	0	0	0	0.757576	0.641906	0.844909	66
USA	2019	USA|2019	122	110	27	83	12	0	0	0	0	0.754545	0.666435	0.825477	110
USA	2020	USA|2020	20	16	0	16	4	0	0	0	0	1.000000	0.806387	1.000000	16
USA	2022	USA|2022	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
USA	2024	USA|2024	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
USA	2025	USA|2025	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
ZAF	2015	ZAF|2015	21	21	21	0	0	0	0	0	0	0.000000	0.000000	0.154644	21
ZAF	2016	ZAF|2016	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
ZAF	2017	ZAF|2017	1	1	1	0	0	0	0	0	0	0.000000	0.000000	0.793457	1
ZAF	2018	ZAF|2018	3	3	3	0	0	0	0	0	0	0.000000	0.000000	0.561506	3
ZAF	2019	ZAF|2019	4	4	4	0	0	0	0	0	0	0.000000	0.000000	0.489900	4
