origin_id	phylo_tree_id	ancestral_state	descendant_state	clade_id	sister_clade_id	n_tips_total	n_tips_disrupted	n_countries	first_year	last_year	major_lineage	major_lineage_source	major_mlst_st	major_background_label	major_ptxP_label	major_fim3_label	major_fhaB2400_5550_label	major_23s_status	dominant_prn_mechanism	branch_support	origin_support_score	inference_method	notes
origin_0011	workflow_ml_tree_composition_filtered	intact	disrupted	node_000625	node_000042	1	1	1	2009	2009									coding_disrupted_inversion_or_rearrangement		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0011.descendant_tips.tsv;branch_support_not_available
origin_0012	workflow_ml_tree_composition_filtered	intact	disrupted	node_000702	node_000703	1	1	1	2009	2009									coding_disrupted_inversion_or_rearrangement		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0012.descendant_tips.tsv;branch_support_not_available
origin_0013	workflow_ml_tree_composition_filtered	intact	disrupted	node_000727	node_000724	6	5	1	2011	2014									coding_disrupted_inversion_or_rearrangement	100	0.833333	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=6;descendant_disrupted_tip_count=5;tip_package=origin_0013.descendant_tips.tsv
origin_0014	workflow_ml_tree_composition_filtered	intact	disrupted	node_000749	node_000894	73	63	1	2010	2020									coding_disrupted_inversion_or_rearrangement	45	0.863014	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=73;descendant_disrupted_tip_count=63;tip_package=origin_0014.descendant_tips.tsv
origin_0015	workflow_ml_tree_composition_filtered	intact	disrupted	node_000896	node_000747	40	38	1	2011	2019									coding_disrupted_is481	99	0.950000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=40;descendant_disrupted_tip_count=38;tip_package=origin_0015.descendant_tips.tsv
origin_0016	workflow_ml_tree_composition_filtered	intact	disrupted	node_000985	node_000980	1	1	1	2012	2012									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0016.descendant_tips.tsv;branch_support_not_available
origin_0017	workflow_ml_tree_composition_filtered	intact	disrupted	node_001091	node_001092	1	1	0											coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0017.descendant_tips.tsv;branch_support_not_available
origin_0018	workflow_ml_tree_composition_filtered	intact	disrupted	node_001094	node_001737	322	305	2	2010	2020									coding_disrupted_is481	98	0.947205	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=322;descendant_disrupted_tip_count=305;tip_package=origin_0018.descendant_tips.tsv
origin_0019	workflow_ml_tree_composition_filtered	intact	disrupted	node_001802	node_001787	9	9	2	2012	2017									coding_disrupted_is481	98	1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=9;descendant_disrupted_tip_count=9;tip_package=origin_0019.descendant_tips.tsv
origin_0020	workflow_ml_tree_composition_filtered	intact	disrupted	node_001976	node_001973	9	9	1	2012	2017									coding_disrupted_is481	100	1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=9;descendant_disrupted_tip_count=9;tip_package=origin_0020.descendant_tips.tsv
origin_0021	workflow_ml_tree_composition_filtered	intact	disrupted	node_002079	node_001934	1	1	1	2012	2012									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0021.descendant_tips.tsv;branch_support_not_available
origin_0022	workflow_ml_tree_composition_filtered	intact	disrupted	node_002186	node_002149	50	25	4	2022	2025									coding_disrupted_is481	43	0.500000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=50;descendant_disrupted_tip_count=25;tip_package=origin_0022.descendant_tips.tsv
origin_0023	workflow_ml_tree_composition_filtered	intact	disrupted	node_003354	node_003355	1	1	1	2010	2010									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0023.descendant_tips.tsv;branch_support_not_available
origin_0024	workflow_ml_tree_composition_filtered	intact	disrupted	node_003367	node_001074	1	1	1	2012	2012									coding_disrupted_is481		1.000000	transition_scan_on_fitch_parsimony_ml_tree	transition=intact->disrupted;descendant_tip_count=1;descendant_disrupted_tip_count=1;tip_package=origin_0024.descendant_tips.tsv;branch_support_not_available
