grid_id	hsp_min_pident	locus_qcov_threshold	is_support_profile	strong_is_qcov	strong_is_pident	moderate_is_qcov	moderate_is_pident	n_retained	n_interpretable	n_intact	n_structural_disrupted	n_is481	n_rearrangement	n_other_disruption	n_other_is	n_uncertain_fragmented	n_insufficient	n_strong_is_support	n_moderate_is_support	dominant_event_id	dominant_event_count	dominant_event_share	top3_event_count	top3_event_share	gap1043_count	cov58_count	cov91_count	status_compared_to_manuscript_n	status_changed_vs_manuscript_n	status_changed_vs_manuscript_fraction	mechanism_compared_to_manuscript_n	mechanism_changed_vs_manuscript_n	mechanism_changed_vs_manuscript_fraction	event_changed_vs_manuscript_n	delta_n_interpretable_vs_default_grid	delta_n_intact_vs_default_grid	delta_n_structural_disrupted_vs_default_grid	delta_n_is481_vs_default_grid	delta_n_rearrangement_vs_default_grid	delta_n_other_disruption_vs_default_grid	delta_n_uncertain_fragmented_vs_default_grid	delta_n_insufficient_vs_default_grid	delta_gap1043_count_vs_default_grid	delta_cov58_count_vs_default_grid	delta_cov91_count_vs_default_grid
grid_028	88.0	99.0	relaxed	70.0	85.0	50.0	80.0	2406	1980	1418	562	372	170	20	0	223	203	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	901	0.374	1085	-29	-13	-16	1	-2	-15	-114	143	0	0	0
grid_029	88.0	99.0	default	80.0	90.0	60.0	85.0	2406	1980	1418	562	371	170	21	0	223	203	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	900	0.374	1084	-29	-13	-16	0	-2	-14	-114	143	0	0	0
grid_030	88.0	99.0	strict	90.0	95.0	70.0	90.0	2406	1980	1418	562	370	170	22	0	223	203	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	901	0.374	1085	-29	-13	-16	-1	-2	-13	-114	143	0	0	0
grid_031	90.0	90.0	relaxed	70.0	85.0	50.0	80.0	2406	2118	1647	471	349	110	12	0	264	24	348	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	454	0.964	338	108	0	1343	96	0.071	2406	1146	0.476	1170	109	216	-107	-22	-62	-23	-73	-36	-21	0	-62
grid_032	90.0	90.0	default	80.0	90.0	60.0	85.0	2406	2118	1647	471	348	110	13	0	264	24	347	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1145	0.476	1169	109	216	-107	-23	-62	-22	-73	-36	-21	0	-62
grid_033	90.0	90.0	strict	90.0	95.0	70.0	90.0	2406	2118	1647	471	347	110	14	0	264	24	344	3	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1146	0.476	1170	109	216	-107	-24	-62	-21	-73	-36	-21	0	-62
grid_034	90.0	92.5	relaxed	70.0	85.0	50.0	80.0	2406	1994	1432	562	372	172	18	0	384	28	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1044	0.434	1070	-15	1	-16	1	0	-17	47	-32	0	0	0
grid_035	90.0	92.5	default	80.0	90.0	60.0	85.0	2406	1994	1432	562	371	172	19	0	384	28	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1043	0.433	1069	-15	1	-16	0	0	-16	47	-32	0	0	0
grid_036	90.0	92.5	strict	90.0	95.0	70.0	90.0	2406	1994	1432	562	370	172	20	0	384	28	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1044	0.434	1070	-15	1	-16	-1	0	-15	47	-32	0	0	0
grid_037	90.0	95.0	relaxed	70.0	85.0	50.0	80.0	2406	2009	1431	578	372	172	34	0	337	60	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621	529	0.915	359	108	62	1341	2	0.001	2406	1013	0.421	1070	0	0	0	1	0	-1	0	0	0	0	0
grid_038	90.0	95.0	default	80.0	90.0	60.0	85.0	2406	2009	1431	578	371	172	35	0	337	60	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621	529	0.915	359	108	62	1341	2	0.001	2406	1012	0.421	1069	0	0	0	0	0	0	0	0	0	0	0
grid_039	90.0	95.0	strict	90.0	95.0	70.0	90.0	2406	2009	1431	578	370	172	36	0	337	60	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621	529	0.915	359	108	62	1341	2	0.001	2406	1013	0.421	1070	0	0	0	-1	0	1	0	0	0	0	0
grid_040	90.0	97.5	relaxed	70.0	85.0	50.0	80.0	2406	1987	1418	569	372	171	26	0	258	161	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631	529	0.930	359	108	62	1331	4	0.003	2406	926	0.385	1082	-22	-13	-9	1	-1	-9	-79	101	0	0	0
grid_041	90.0	97.5	default	80.0	90.0	60.0	85.0	2406	1987	1418	569	371	171	27	0	258	161	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631	529	0.930	359	108	62	1331	4	0.003	2406	925	0.384	1081	-22	-13	-9	0	-1	-8	-79	101	0	0	0
grid_042	90.0	97.5	strict	90.0	95.0	70.0	90.0	2406	1987	1418	569	370	171	28	0	258	161	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631	529	0.930	359	108	62	1331	4	0.003	2406	926	0.385	1082	-22	-13	-9	-1	-1	-7	-79	101	0	0	0
grid_043	90.0	99.0	relaxed	70.0	85.0	50.0	80.0	2406	1983	1418	565	372	170	23	0	220	203	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635	529	0.936	359	108	62	1327	0	0.000	2406	901	0.374	1085	-26	-13	-13	1	-2	-12	-117	143	0	0	0
grid_044	90.0	99.0	default	80.0	90.0	60.0	85.0	2406	1983	1418	565	371	170	24	0	220	203	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635	529	0.936	359	108	62	1327	0	0.000	2406	900	0.374	1084	-26	-13	-13	0	-2	-11	-117	143	0	0	0
grid_045	90.0	99.0	strict	90.0	95.0	70.0	90.0	2406	1983	1418	565	370	170	25	0	220	203	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635	529	0.936	359	108	62	1327	0	0.000	2406	901	0.374	1085	-26	-13	-13	-1	-2	-10	-117	143	0	0	0
grid_046	92.0	90.0	relaxed	70.0	85.0	50.0	80.0	2406	2118	1647	471	349	110	12	0	262	26	348	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	454	0.964	338	108	0	1343	96	0.071	2406	1145	0.476	1170	109	216	-107	-22	-62	-23	-75	-34	-21	0	-62
grid_047	92.0	90.0	default	80.0	90.0	60.0	85.0	2406	2118	1647	471	348	110	13	0	262	26	347	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1144	0.475	1169	109	216	-107	-23	-62	-22	-75	-34	-21	0	-62
grid_048	92.0	90.0	strict	90.0	95.0	70.0	90.0	2406	2118	1647	471	347	110	14	0	262	26	344	3	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1145	0.476	1170	109	216	-107	-24	-62	-21	-75	-34	-21	0	-62
grid_049	92.0	92.5	relaxed	70.0	85.0	50.0	80.0	2406	1996	1432	564	372	172	20	0	377	33	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1340	2	0.001	2406	1039	0.432	1070	-13	1	-14	1	0	-15	40	-27	0	0	0
grid_050	92.0	92.5	default	80.0	90.0	60.0	85.0	2406	1996	1432	564	371	172	21	0	377	33	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1340	2	0.001	2406	1038	0.431	1069	-13	1	-14	0	0	-14	40	-27	0	0	0
grid_051	92.0	92.5	strict	90.0	95.0	70.0	90.0	2406	1996	1432	564	370	172	22	0	377	33	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1340	2	0.001	2406	1039	0.432	1070	-13	1	-14	-1	0	-13	40	-27	0	0	0
grid_052	92.0	95.0	relaxed	70.0	85.0	50.0	80.0	2406	2012	1431	581	372	172	37	0	311	83	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618	529	0.910	359	108	62	1340	1	0.001	2406	990	0.411	1070	3	0	3	1	0	2	-26	23	0	0	0
grid_053	92.0	95.0	default	80.0	90.0	60.0	85.0	2406	2012	1431	581	371	172	38	0	311	83	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618	529	0.910	359	108	62	1340	1	0.001	2406	989	0.411	1069	3	0	3	0	0	3	-26	23	0	0	0
grid_054	92.0	95.0	strict	90.0	95.0	70.0	90.0	2406	2012	1431	581	370	172	39	0	311	83	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618	529	0.910	359	108	62	1340	1	0.001	2406	990	0.411	1070	3	0	3	-1	0	4	-26	23	0	0	0
grid_055	92.0	97.5	relaxed	70.0	85.0	50.0	80.0	2406	1981	1418	563	372	171	20	0	238	187	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	913	0.379	1083	-28	-13	-15	1	-1	-15	-99	127	0	0	0
grid_056	92.0	97.5	default	80.0	90.0	60.0	85.0	2406	1981	1418	563	371	171	21	0	238	187	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	912	0.379	1082	-28	-13	-15	0	-1	-14	-99	127	0	0	0
grid_057	92.0	97.5	strict	90.0	95.0	70.0	90.0	2406	1981	1418	563	370	171	22	0	238	187	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	913	0.379	1083	-28	-13	-15	-1	-1	-13	-99	127	0	0	0
grid_058	92.0	99.0	relaxed	70.0	85.0	50.0	80.0	2406	1980	1418	562	372	170	20	0	215	211	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	893	0.371	1085	-29	-13	-16	1	-2	-15	-122	151	0	0	0
grid_059	92.0	99.0	default	80.0	90.0	60.0	85.0	2406	1980	1418	562	371	170	21	0	215	211	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	892	0.371	1084	-29	-13	-16	0	-2	-14	-122	151	0	0	0
grid_060	92.0	99.0	strict	90.0	95.0	70.0	90.0	2406	1980	1418	562	370	170	22	0	215	211	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	893	0.371	1085	-29	-13	-16	-1	-2	-13	-122	151	0	0	0
grid_061	95.0	90.0	relaxed	70.0	85.0	50.0	80.0	2406	2118	1647	471	349	110	12	0	258	30	348	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	454	0.964	338	108	0	1343	96	0.071	2406	1142	0.475	1170	109	216	-107	-22	-62	-23	-79	-30	-21	0	-62
grid_062	95.0	90.0	default	80.0	90.0	60.0	85.0	2406	2118	1647	471	348	110	13	0	258	30	347	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1141	0.474	1169	109	216	-107	-23	-62	-22	-79	-30	-21	0	-62
grid_063	95.0	90.0	strict	90.0	95.0	70.0	90.0	2406	2118	1647	471	347	110	14	0	258	30	344	3	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718	453	0.962	338	108	0	1343	96	0.071	2406	1142	0.475	1170	109	216	-107	-24	-62	-21	-79	-30	-21	0	-62
grid_064	95.0	92.5	relaxed	70.0	85.0	50.0	80.0	2406	1994	1432	562	372	172	18	0	361	51	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1021	0.424	1070	-15	1	-16	1	0	-17	24	-9	0	0	0
grid_065	95.0	92.5	default	80.0	90.0	60.0	85.0	2406	1994	1432	562	371	172	19	0	361	51	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1020	0.424	1069	-15	1	-16	0	0	-16	24	-9	0	0	0
grid_066	95.0	92.5	strict	90.0	95.0	70.0	90.0	2406	1994	1432	562	370	172	20	0	361	51	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1339	1	0.001	2406	1021	0.424	1070	-15	1	-16	-1	0	-15	24	-9	0	0	0
grid_067	95.0	95.0	relaxed	70.0	85.0	50.0	80.0	2406	1995	1431	564	372	172	20	0	260	151	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	924	0.384	1071	-14	0	-14	1	0	-15	-77	91	0	0	0
grid_068	95.0	95.0	default	80.0	90.0	60.0	85.0	2406	1995	1431	564	371	172	21	0	260	151	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	923	0.384	1070	-14	0	-14	0	0	-14	-77	91	0	0	0
grid_069	95.0	95.0	strict	90.0	95.0	70.0	90.0	2406	1995	1431	564	370	172	22	0	260	151	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637	529	0.938	359	108	62	1339	0	0.000	2406	924	0.384	1071	-14	0	-14	-1	0	-13	-77	91	0	0	0
grid_070	95.0	97.5	relaxed	70.0	85.0	50.0	80.0	2406	1981	1418	563	372	171	20	0	233	192	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	908	0.377	1083	-28	-13	-15	1	-1	-15	-104	132	0	0	0
grid_071	95.0	97.5	default	80.0	90.0	60.0	85.0	2406	1981	1418	563	371	171	21	0	233	192	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	907	0.377	1082	-28	-13	-15	0	-1	-14	-104	132	0	0	0
grid_072	95.0	97.5	strict	90.0	95.0	70.0	90.0	2406	1981	1418	563	370	171	22	0	233	192	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638	529	0.940	359	108	62	1326	0	0.000	2406	908	0.377	1083	-28	-13	-15	-1	-1	-13	-104	132	0	0	0
grid_073	95.0	99.0	relaxed	70.0	85.0	50.0	80.0	2406	1980	1418	562	372	170	20	0	215	211	371	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	893	0.371	1085	-29	-13	-16	1	-2	-15	-122	151	0	0	0
grid_074	95.0	99.0	default	80.0	90.0	60.0	85.0	2406	1980	1418	562	371	170	21	0	215	211	370	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	892	0.371	1084	-29	-13	-16	0	-2	-14	-122	151	0	0	0
grid_075	95.0	99.0	strict	90.0	95.0	70.0	90.0	2406	1980	1418	562	370	170	22	0	215	211	366	4	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639	529	0.941	359	108	62	1326	0	0.000	2406	893	0.371	1085	-29	-13	-16	-1	-2	-13	-122	151	0	0	0
