scenario_id	scenario_class	simmap_model	stochastic_map_replicate	stochastic_origin_count
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	113	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	114	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	115	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	116	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	117	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	118	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	119	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	120	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	121	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	122	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	123	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	124	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	125	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	126	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	127	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	128	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	129	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	130	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	131	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	132	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	133	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	134	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	135	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	136	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	137	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	138	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	139	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	140	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	141	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	142	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	143	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	144	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	145	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	146	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	147	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	148	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	149	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	150	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	151	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	152	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	153	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	154	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	155	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	156	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	157	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	158	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	159	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	160	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	161	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	162	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	163	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	164	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	165	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	166	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	167	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	168	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	169	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	170	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	171	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	172	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	173	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	174	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	175	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	176	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	177	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	178	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	179	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	180	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	181	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	182	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	183	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	184	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	185	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	186	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	187	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	188	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	189	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	190	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	191	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	192	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	193	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	194	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	195	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	196	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	197	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	198	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	199	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	200	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	201	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	202	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	203	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	204	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	205	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	206	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	207	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	208	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	209	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	210	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	211	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	212	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	213	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	214	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	215	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	216	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	217	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	218	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	219	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	220	43
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	221	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	222	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	223	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	224	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	225	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	226	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	227	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	228	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	229	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	230	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	231	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	232	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	233	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	234	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	235	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	236	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	237	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	238	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	239	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	240	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	241	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	242	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	243	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	244	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	245	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	246	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	247	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	248	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	249	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	250	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	251	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	252	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	253	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	254	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	255	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	256	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	257	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	258	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	259	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	260	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	261	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	262	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	263	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	264	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	265	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	266	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	267	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	268	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	269	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	270	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	271	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	272	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	273	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	274	42
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	275	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	276	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	277	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	278	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	279	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	280	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	281	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	282	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	283	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	284	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	285	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	286	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	287	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	288	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	289	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	290	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	291	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	292	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	293	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	294	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	295	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	296	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	297	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	298	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	299	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	300	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	301	31
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	302	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	303	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	304	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	305	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	306	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	307	44
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	308	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	309	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	310	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	311	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	312	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	313	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	314	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	315	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	316	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	317	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	318	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	319	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	320	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	321	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	322	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	323	40
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	324	32
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	325	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	326	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	327	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	328	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	329	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	330	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	331	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	332	29
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	333	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	334	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	335	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	336	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	337	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	338	41
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	339	38
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	340	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	341	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	342	34
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	343	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	344	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	345	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	346	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	347	39
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	348	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	349	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	350	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	351	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	352	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	353	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	354	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	355	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	356	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	357	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	358	37
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	359	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	360	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	361	35
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	362	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	363	36
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	364	33
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	365	43
primary_reference_rooted	primary	fixed_ER_Q_rate_20000_root_equal	366	38
