country_iso3	country_name	year	vaccine_program_type_effective	primary_series_formulation	booster_formulation	prn_in_vaccine_curated	formulation_confidence	program_formulation_class	exposure_precedence_rule	prn_in_vaccine_source_class	formulation_source_name	formulation_source_url	formulation_notes
ESP	Spain	2003	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Spanish pertactin-deficiency study	https://wwwnc.cdc.gov/eid/article/28/5/21-1958_article	The Spain-specific PRN-deficiency study defines 1998-2005 as the transition period to ACV, with ACV boosters introduced in 1998 while WCV remained in the primary series until exclusive ACV use began in 2006.
ESP	Spain	2004	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Spanish pertactin-deficiency study	https://wwwnc.cdc.gov/eid/article/28/5/21-1958_article	The Spain-specific PRN-deficiency study defines 1998-2005 as the transition period to ACV, with ACV boosters introduced in 1998 while WCV remained in the primary series until exclusive ACV use began in 2006.
ESP	Spain	2005	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Spanish pertactin-deficiency study	https://wwwnc.cdc.gov/eid/article/28/5/21-1958_article	The Spain-specific PRN-deficiency study defines 1998-2005 as the transition period to ACV, with ACV boosters introduced in 1998 while WCV remained in the primary series until exclusive ACV use began in 2006.
FIN	Finland	2005	pre_ap_introduction_or_whole_cell	ap_prn_negative	ap_prn_negative	no	high	routine_ap_prn_negative	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Finnish epidemiology study documenting the 2005 replacement of whole-cell vaccine by acellular vaccine; Finnish antigen-expression study describing PT/FHA-only followed by PT/FHA/PRN acellular vaccine use	https://pubmed.ncbi.nlm.nih.gov/19628060/;https://www.utupub.fi/handle/10024/183252	Finland replaced whole-cell vaccine in 2005 and the Finnish antigen-expression review describes the first acellular interval as PT and FHA only before PRN was added back in 2009, so 2005-2008 is curated as routine aP and PRN-negative.
FRA	France	2001	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	official_schedule_plus_product_info	French Bordetella evolution study; French 2024 vaccination calendar; EMA Infanrix Hexa; EMA Hexyon; Merck VAXELIS PI	https://www.sciencedirect.com/science/article/abs/pii/S1198743X14610508;https://sante.gouv.fr/IMG/pdf/calendrier_vaccinal_oct24.pdf;https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa;https://www.ema.europa.eu/en/medicines/human/EPAR/hexyon;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	Acellular pertussis was introduced in 1998 as an adolescent booster and then generalized to the whole population; French acellular products include both PT/FHA-only and PT/FHA/PRN formulations, so the programme is curated as mixed-brand heterogeneous rather than uniformly PRN-positive.
GBR	United Kingdom	2002	ap_introduced_routine_or_mixed	wp_only	wp_only	no	high	wp_only_or_pre_ap	curated_formulation_preferred_over_program_phase	official_schedule_plus_peer_reviewed_literature	UKHSA vaccine timeline; pertussis immunisation history review	https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1052154/UKHSA-vaccine-timeline.pdf;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/216141/Determinants_of_childhood_immunisation_coverage_in_the_United_Kingdom__1995_to_2007.pdf	The UK historical timeline places the primary-schedule acellular switch in 2004. This pre-2004 baseline is truncated to the earliest interpretable historical UK isolates in the current genome panel so the selected-country screen can evaluate a whole-cell epoch against the later acellular programme.
GBR	United Kingdom	2003	ap_introduced_routine_or_mixed	wp_only	wp_only	no	high	wp_only_or_pre_ap	curated_formulation_preferred_over_program_phase	official_schedule_plus_peer_reviewed_literature	UKHSA vaccine timeline; pertussis immunisation history review	https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1052154/UKHSA-vaccine-timeline.pdf;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/216141/Determinants_of_childhood_immunisation_coverage_in_the_United_Kingdom__1995_to_2007.pdf	The UK historical timeline places the primary-schedule acellular switch in 2004. This pre-2004 baseline is truncated to the earliest interpretable historical UK isolates in the current genome panel so the selected-country screen can evaluate a whole-cell epoch against the later acellular programme.
JPN	Japan	2001	pre_ap_introduction_or_whole_cell	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	routine_ap_mixed	curated_formulation_preferred_over_program_phase	peer_reviewed_literature	Japanese PRN-deficient surveillance study; CDC review of pertactin-deficient expansion	https://wwwnc.cdc.gov/eid/article/23/4/16-1575_article;https://wwwnc.cdc.gov/eid/article/27/6/20-3850_article	Japan-specific literature reports that five long-used DTaP brands had heterogeneous antigen compositions and only three contained PRN before the 2012 DTaP-IPV change, so the historical pre-2012 acellular period is curated as mixed rather than uniformly PRN-positive.
NLD	Netherlands	2005	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	medium	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	official_schedule_plus_product_info	RIVM programme-change history; RIVM vaccine information leaflets; RIVM what is in a vaccine page; EMA Vaxelis	https://rijksvaccinatieprogramma.nl/professionals/richtlijnen/uitvoering/3-onderbouwing-en-wijzigingen;https://rijksvaccinatieprogramma.nl/en/how-does-vaccination-work/vaccine-information-leaflets;https://rijksvaccinatieprogramma.nl/en/how-does-vaccination-work/what-is-in-a-vaccin;https://www.ema.europa.eu/en/medicines/human/EPAR/vaxelis	RIVM states that whole-cell pertussis vaccine was replaced by acellular pertussis vaccine for children born from 1 January 2005 onward. Current Dutch programme materials list PRN-positive pertussis-containing products such as Vaxelis, so the 2005-2024 routine programme is curated as PRN-positive.
NZL	New Zealand	2001	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	Health New Zealand immunisation history; Medsafe INFANRIX HEXA datasheet; Health NZ school booster standards	https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/appendix-1-the-history-of-immunisation-in-new-zealand;https://www.medsafe.govt.nz/profs/datasheet/i/infanrixhexainj.pdf;https://www.health.govt.nz/system/files/2016-12/professional-standards-school-based-immunisation-service-delivery-dec16.pdf	Acellular pertussis replaced whole-cell vaccine in August 2000; infant and booster products used in the national schedule are PRN-positive. The selected-country review report extends this row through 2025.
USA	United States	2001	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	CDC ACIP 2018 pertussis recommendations; FDA INFANRIX; Merck VAXELIS PI	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm;https://www.fda.gov/media/75157/download?attachment=;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	ACIP states DTaP replaced whole-cell doses in 1997; current infant and childhood U.S. products in routine use include PRN-positive DTaP and hexavalent formulations. The selected-country review report extends this sustained acellular PRN-positive background through 2025.
USA	United States	2002	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	CDC ACIP 2018 pertussis recommendations; FDA INFANRIX; Merck VAXELIS PI	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm;https://www.fda.gov/media/75157/download?attachment=;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	ACIP states DTaP replaced whole-cell doses in 1997; current infant and childhood U.S. products in routine use include PRN-positive DTaP and hexavalent formulations. The selected-country review report extends this sustained acellular PRN-positive background through 2025.
USA	United States	2003	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	CDC ACIP 2018 pertussis recommendations; FDA INFANRIX; Merck VAXELIS PI	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm;https://www.fda.gov/media/75157/download?attachment=;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	ACIP states DTaP replaced whole-cell doses in 1997; current infant and childhood U.S. products in routine use include PRN-positive DTaP and hexavalent formulations. The selected-country review report extends this sustained acellular PRN-positive background through 2025.
USA	United States	2004	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	CDC ACIP 2018 pertussis recommendations; FDA INFANRIX; Merck VAXELIS PI	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm;https://www.fda.gov/media/75157/download?attachment=;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	ACIP states DTaP replaced whole-cell doses in 1997; current infant and childhood U.S. products in routine use include PRN-positive DTaP and hexavalent formulations. The selected-country review report extends this sustained acellular PRN-positive background through 2025.
USA	United States	2005	pre_ap_introduction_or_whole_cell	ap_prn_positive	ap_prn_positive	yes	high	routine_ap_prn_positive	curated_formulation_preferred_over_program_phase	direct_product_insert	CDC ACIP 2018 pertussis recommendations; FDA INFANRIX; Merck VAXELIS PI	https://www.cdc.gov/mmwr/volumes/67/rr/rr6702a1.htm;https://www.fda.gov/media/75157/download?attachment=;https://www.merck.com/product/usa/pi_circulars/v/vaxelis/vaxelis_pi.pdf	ACIP states DTaP replaced whole-cell doses in 1997; current infant and childhood U.S. products in routine use include PRN-positive DTaP and hexavalent formulations. The selected-country review report extends this sustained acellular PRN-positive background through 2025.
