country_iso3	country_name	analysis_role	year	age_group_projected	population	aggregation_method	source_name	source_file	notes
CHN	China	high_risk_control	2023	1-4	46433963.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2023	15+	1186583630.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2023	5-14	177958848.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2024	0-1	10391510.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2024	1-4	41566040.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2024	15+	1192118991.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2024	5-14	175244736.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2025	0-1	9504028.3	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2025	1-4	38016113.2	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
CHN	China	high_risk_control	2025	15+	1197914049.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
CHN	China	high_risk_control	2025	5-14	170661903.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2015	0-1	1023604.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2015	1-4	4094416.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2015	15+	110928080.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2015	5-14	11229772.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2016	0-1	1010037.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2016	1-4	4040150.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2016	15+	110981073.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2016	5-14	11128689.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2017	0-1	996052.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2017	1-4	3984210.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2017	15+	111044586.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2017	5-14	11039840.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2018	0-1	977950.5	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	1-4	3911802.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2018	15+	111060394.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2018	5-14	10963286.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2019	0-1	955604.2	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	1-4	3822416.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2019	15+	111031064.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2019	5-14	10890338.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2020	0-1	925894.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	1-4	3703577.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2020	15+	110869177.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2020	5-14	10805894.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2021	0-1	891133.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	1-4	3564532.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2021	15+	110537159.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2021	5-14	10686514.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2022	0-1	858813.9	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	1-4	3435255.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2022	15+	110174195.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2022	5-14	10529313.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2023	0-1	828423.9	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	1-4	3313695.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2023	15+	109882613.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2023	5-14	10346213.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2024	0-1	802667.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	1-4	3210668.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2024	15+	109600517.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2024	5-14	10139188.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2025	0-1	783992.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2025	1-4	3135968.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
JPN	Japan	primary_focal	2025	15+	109268620.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
JPN	Japan	primary_focal	2025	5-14	9914899.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2015	0-1	3995410.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	1-4	15981642.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2015	15+	263537296.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2015	5-14	42612147.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2016	0-1	3999055.2	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	1-4	15996220.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2016	15+	266414024.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2016	5-14	42770126.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2017	0-1	3995878.1	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2017	1-4	15983512.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2017	15+	269288593.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2017	5-14	42936675.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2018	0-1	3978518.4	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2018	1-4	15914073.6	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2018	15+	272111210.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2018	5-14	43052695.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2019	0-1	3945905.7	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2019	1-4	15783622.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2019	15+	274932603.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2019	5-14	43127935.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2020	0-1	3880038.7	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2020	1-4	15520154.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2020	15+	277004150.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2020	5-14	43031814.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2021	0-1	3802758.2	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2021	1-4	15211032.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2021	15+	278435347.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2021	5-14	42712302.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2022	0-1	3757018.5	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2022	1-4	15028074.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2022	15+	280461524.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2022	5-14	42287428.5	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2023	0-1	3728735.7	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2023	1-4	14914942.8	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2023	15+	283043742.5	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2023	5-14	41789914.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2024	0-1	3709824.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2024	1-4	14839296.0	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
USA	United States	primary_main	2024	15+	285582879.0	exact_sum_from_15_plus_bins	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2024	5-14	41294572.0	exact_sum_from_5_9_and_10_14	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	
USA	United States	primary_main	2025	0-1	3714905.9	fractional_split_from_0_4	UN World Population Prospects 2024	modules/public_health/inputs/raw/wpp/unpopulation_dataportal_20260408111357.csv	project_bin_0-1_operationalized_as_infant_lt1_due_source_conventions
