model_id	analysis_panel	sensitivity_label	model_spec	response_track	exposure_column	excluded_country_iso3	country_filter	n_rows	n_countries	year_window	model_family	weighting_scheme	result_type	estimate_term	program_class	reference_class	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	q_value_scope	notes	term_label	estimate_stability	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_upper	converged	covariance_type	diagnostic_notes
programme_country_period_5y_high_confidence_programme_only_ipw	programme_country_period_5y	high_confidence_only	programme_only	ipw	program_formulation_class_concurrent		formulation_confidence_period=high	13	6	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_positive]	routine_ap_prn_positive	wp_only_or_pre_ap	log_odds	26.990154238139827	21.19456683869127	32.78574163758839	6.993438320902226e-20	4.196062992541336e-19	within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_positive vs wp_only_or_pre_ap	extreme_or_quasi_separated				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only
programme_country_period_5y_transition_excluded_programme_only_ipw	programme_country_period_5y	transition_excluded	programme_only	ipw	program_formulation_class_concurrent		transition_period_flag=false	18	11	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	16.909501405124665					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true
programme_country_period_5y_transition_excluded_programme_only_ipw	programme_country_period_5y	transition_excluded	programme_only	ipw	program_formulation_class_concurrent		transition_period_flag=false	18	11	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_negative]	routine_ap_prn_negative	wp_only_or_pre_ap	log_odds	13.977593448338148					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_negative vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true
programme_country_period_5y_transition_excluded_programme_only_ipw	programme_country_period_5y	transition_excluded	programme_only	ipw	program_formulation_class_concurrent		transition_period_flag=false	18	11	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_positive]	routine_ap_prn_positive	wp_only_or_pre_ap	log_odds	19.385396787857136					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_positive vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;transition_rows_excluded=true
programme_country_period_5y_lagged_programme_only_ipw	programme_country_period_5y	lagged_exposure	programme_only	ipw	program_formulation_class_lagged		lagged_class_available=true	16	11	2005-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_lagged, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	17.26133963844659					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class
programme_country_period_5y_lagged_programme_only_ipw	programme_country_period_5y	lagged_exposure	programme_only	ipw	program_formulation_class_lagged		lagged_class_available=true	16	11	2005-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_lagged, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_negative]	routine_ap_prn_negative	wp_only_or_pre_ap	log_odds	14.232162151082486					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_negative vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class
programme_country_period_5y_lagged_programme_only_ipw	programme_country_period_5y	lagged_exposure	programme_only	ipw	program_formulation_class_lagged		lagged_class_available=true	16	11	2005-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_lagged, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_positive]	routine_ap_prn_positive	wp_only_or_pre_ap	log_odds	19.619102112562462					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_positive vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=lagged_programme_class
programme_country_period_3y_supporting_programme_only_ipw	programme_country_period_3y	supporting_period_panel	programme_only	ipw	program_formulation_class_concurrent		all_primary_eligible_period_rows	22	9	1998-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	-0.2237730614840334					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing	0.799496550344106			True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes
programme_country_period_3y_supporting_programme_only_ipw	programme_country_period_3y	supporting_period_panel	programme_only	ipw	program_formulation_class_concurrent		all_primary_eligible_period_rows	22	9	1998-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_negative]	routine_ap_prn_negative	wp_only_or_pre_ap	log_odds	-3.1424130790757454	-64.35922067327057	58.074394515119074	0.919858675457532	0.9286995970376464	within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_negative vs wp_only_or_pre_ap	extreme_or_quasi_separated	0.0431784790035048			True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes
programme_country_period_3y_supporting_programme_only_ipw	programme_country_period_3y	supporting_period_panel	programme_only	ipw	program_formulation_class_concurrent		all_primary_eligible_period_rows	22	9	1998-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_prn_positive]	routine_ap_prn_positive	wp_only_or_pre_ap	log_odds	19.43519006624372					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_prn_positive vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;supporting_panel=yes
programme_country_period_5y_primary_programme_only_naive	programme_country_period_5y	response_track_sensitivity	programme_only	naive	program_formulation_class_concurrent		all_primary_eligible_period_rows	18	11	2000-2024	statsmodels_glm_binomial_grouped_cluster	naive_grouped_binomial_interpretable_trials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	18.933444751717307	-73.37730589961126	111.24419540304586	0.6876790039769768	0.7647196019990234	within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=naive;exposure=concurrent_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	extreme_or_quasi_separated				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=naive;exposure=concurrent_programme_class
programme_country_period_5y_primary_programme_only_boundary_lower	programme_country_period_5y	response_track_sensitivity	programme_only	boundary_lower	program_formulation_class_concurrent		all_primary_eligible_period_rows	18	11	2000-2024	statsmodels_glm_binomial_grouped_cluster	boundary_lower_total_genome_trials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	19.81385402599076					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=boundary_lower;exposure=concurrent_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=boundary_lower;exposure=concurrent_programme_class
programme_country_period_5y_primary_programme_only_boundary_upper	programme_country_period_5y	response_track_sensitivity	programme_only	boundary_upper	program_formulation_class_concurrent		all_primary_eligible_period_rows	18	11	2000-2024	statsmodels_glm_binomial_grouped_cluster	boundary_upper_total_genome_trials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	-1.7008538873519132	-6.144662140736095	2.7429543660322686	0.4531439252029826	0.4531439252029826	within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=boundary_upper;exposure=concurrent_programme_class;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	imprecise_crosses_null	0.18252759948262623	0.002144900443993123	15.532806973019973	True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=boundary_upper;exposure=concurrent_programme_class
programme_country_period_5y_ridge_penalized_programme_only_ipw	programme_country_period_5y	ridge_penalized_support	programme_only	ipw	program_formulation_class_concurrent		all_primary_eligible_period_rows	18	11	2000-2024	statsmodels_fractional_logit_regularized_ridge	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	0.0278214282638596					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;penalized_support=true;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing	1.028212058414314			True	regularized_ridge	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;penalized_support=true
programme_country_period_5y_leave_one_out_BRA	programme_country_period_5y	leave_one_country_out	programme_only	ipw	program_formulation_class_concurrent	BRA	exclude_country=BRA	17	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	coefficient	C(program_formulation_class_concurrent, Treatment(reference='wp_only_or_pre_ap'))[T.routine_ap_mixed]	routine_ap_mixed	wp_only_or_pre_ap	log_odds	14.918546125831185					within_model_term_family_bh_not_manuscript_wide_fdr	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;leave_one_country_out=BRA;q_value_scope=within_model_term_family_bh_not_manuscript_wide_fdr	routine_ap_mixed vs wp_only_or_pre_ap	missing				True	cluster	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;leave_one_country_out=BRA
