row_type	scenario_or_dimension	n_categories	max_absolute_fraction_gap	mean_absolute_fraction_gap	largest_gap_category	full_interpretable_fraction_largest_gap	tree_subset_fraction_largest_gap	n_scenarios	median_fitch_origin_events	min_fitch_origin_events	max_fitch_origin_events	proportion_rejecting_one_global_clone	notes	comparison_dimension	category	full_interpretable_count	tree_subset_count	tree_subset_fraction	model_auc	weight_mean	weight_median	weight_q95	weight_max	unweighted_tree_disrupted_fraction	ipw_tree_disrupted_fraction
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	year_band	1990_1999	37.0	6.0	0.03571428571428571	0.9204279723252938	1.2645325268553045	1.2413811172208575	1.5143131700262542	1.57959815689208	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	year_band	2000_2009	153.0	36.0	0.21428571428571427	0.9204279723252938	1.3229518242345542	1.3645793617990578	1.5363329301235211	1.7257961157486976	0.08333333333333333	0.08854042358453594
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	year_band	2010_2014	422.0	83.0	0.49404761904761907	0.9204279723252938	1.4952262793122146	1.4480435943262293	1.8643069869390732	1.9128591771680337	0.3614457831325301	0.40989736635008817
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	year_band	pre_1990	49.0	10.0	0.05952380952380952	0.9204279723252938	1.494563062367398	1.1619476106381172	2.8964385797079975	3.0362047175351092	0.1	0.2031499903875411
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	year_band	unknown_year	54.0	33.0	0.19642857142857142	0.9204279723252938	1.049380562017251	1.0275063220657679	1.1181997737901928	1.1518279398804006	0.21212121212121213	0.21278753156940655
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	mechanism_group	IS481	382.0	28.0	0.16666666666666666	0.9204279723252938	1.5803647805850112	1.8183371393484837	1.8643069869390732	1.9128591771680337	1.0	1.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	mechanism_group	insufficient	40.0	1.0	0.005952380952380952	0.9204279723252938	3.0362047175351092	3.0362047175351092	3.0362047175351092	3.0362047175351092	1.0	1.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	mechanism_group	intact	783.0	127.0	0.7559523809523809	0.9204279723252938	1.2866206723573481	1.395336711955179	1.4875398278945868	2.7256133001415286	0.0	0.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	mechanism_group	inversion_or_rearrangement	175.0	11.0	0.06547619047619048	0.9204279723252938	1.557989580786565	1.592588464713071	1.6591922902308842	1.7257961157486976	1.0	1.0
tree_inclusion_weighted_composition													Composition stratum within the primary ASR tree subset.	mechanism_group	other_disruption	20.0	1.0	0.005952380952380952	0.9204279723252938	1.0673018347820227	1.0673018347820227	1.0673018347820227	1.0673018347820227	1.0	1.0
