analysis_id	leave_out_country_iso3	term	posterior_mean	posterior_sd	approx_ci_lower	approx_ci_upper	direction	n_country_year_rows	n_countries	n_genome_level_trials	model_status	warning_messages	notes
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	log1p_genomes_per_case_z	-9.087439	6.247255	-21.332059	3.157181	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	years_since_ap_anchor_z	2.789612	0.468708	1.870945	3.708280	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	prn_formulation_score_z	0.498778	nan	nan	nan	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	booster_score_z	0.706637	nan	nan	nan	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	primary_ap_indicator_z	6.582472	7.795132	-8.695987	21.860931	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	BRA	post_covid_period_z	-2.643368	0.388666	-3.405154	-1.881582	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	Intercept	-3.546331	nan	nan	nan	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	dtp3_coverage_z	-2.559890	0.562114	-3.661633	-1.458148	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	log1p_reported_cases_z	-0.129864	0.869895	-1.834859	1.575130	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	log1p_genomes_per_case_z	-4.053990	4.124951	-12.138894	4.030915	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	years_since_ap_anchor_z	2.334476	0.401533	1.547470	3.121481	positive	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	prn_formulation_score_z	-35.929068	nan	nan	nan	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	booster_score_z	39.472595	nan	nan	nan	positive	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	primary_ap_indicator_z	5.427891	nan	nan	nan	positive	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CHN	post_covid_period_z	-0.250028	0.724371	-1.669796	1.169740	negative	24	10	770	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	Intercept	-4.655342	12.435933	-29.029770	19.719086	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	dtp3_coverage_z	-1.026633	0.678985	-2.357443	0.304178	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	log1p_reported_cases_z	-0.123123	1.136445	-2.350555	2.104309	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	log1p_genomes_per_case_z	-9.022139	5.753268	-20.298545	2.254267	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	years_since_ap_anchor_z	2.778839	0.497810	1.803133	3.754546	positive	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	prn_formulation_score_z	-43.762864	371.042946	-771.007038	683.481309	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	booster_score_z	45.502617	300.518809	-543.514249	634.519483	positive	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	primary_ap_indicator_z	6.584202	7.658909	-8.427259	21.595664	positive	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	CZE	post_covid_period_z	-2.634008	0.392411	-3.403133	-1.864883	negative	26	10	830	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	Intercept	-4.671013	25.076584	-53.821117	44.479092	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	dtp3_coverage_z	-1.034539	0.669980	-2.347700	0.278622	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	log1p_reported_cases_z	-0.115093	1.118666	-2.307678	2.077492	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	log1p_genomes_per_case_z	-9.064511	5.881335	-20.591928	2.462906	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	years_since_ap_anchor_z	2.787229	0.485843	1.834977	3.739481	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	prn_formulation_score_z	-43.787299	611.602339	-1242.527884	1154.953285	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	booster_score_z	45.525442	604.421842	-1139.141368	1230.192252	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	primary_ap_indicator_z	6.587792	7.800152	-8.700506	21.876090	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	FRA	post_covid_period_z	-2.639062	0.395666	-3.414568	-1.863556	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	Intercept	-4.583710	nan	nan	nan	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	dtp3_coverage_z	-1.005180	0.681945	-2.341791	0.331432	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	log1p_reported_cases_z	-0.174742	1.136071	-2.401441	2.051958	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	log1p_genomes_per_case_z	-8.929075	5.845931	-20.387101	2.528950	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	years_since_ap_anchor_z	2.678963	0.515366	1.668845	3.689081	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	prn_formulation_score_z	-43.468986	nan	nan	nan	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	booster_score_z	45.217777	nan	nan	nan	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	primary_ap_indicator_z	6.590270	7.744714	-8.589368	21.769909	positive	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GBR	post_covid_period_z	-2.536039	0.379087	-3.279049	-1.793029	negative	26	10	826	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	Intercept	-4.841959	16.168402	-36.532028	26.848109	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	dtp3_coverage_z	-1.034371	0.670158	-2.347880	0.279138	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	log1p_reported_cases_z	-0.115292	1.119506	-2.309523	2.078939	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	log1p_genomes_per_case_z	-9.087439	5.882894	-20.617912	2.443034	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	years_since_ap_anchor_z	2.789612	0.482111	1.844675	3.734550	positive	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	prn_formulation_score_z	-43.169947	144.486935	-326.364339	240.024446	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	booster_score_z	44.900876	166.449521	-281.340185	371.141938	positive	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	primary_ap_indicator_z	6.980764	36.860067	-65.264966	79.226495	positive	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	GTM	post_covid_period_z	-2.643368	0.388667	-3.405155	-1.881581	negative	26	10	829	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	Intercept	-1.840341	18.196804	-37.506076	33.825395	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	dtp3_coverage_z	-1.034371	0.670158	-2.347881	0.279139	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	log1p_reported_cases_z	-0.115292	1.119505	-2.309521	2.078938	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	log1p_genomes_per_case_z	-9.087439	5.882867	-20.617859	2.442981	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	years_since_ap_anchor_z	2.789612	0.482112	1.844673	3.734552	positive	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	prn_formulation_score_z	-14.414224	291.041963	-584.856471	556.028024	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	booster_score_z	15.799103	333.809071	-638.466677	670.064883	positive	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	primary_ap_indicator_z	-4.160773	73.427584	-148.078838	139.757292	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	IND	post_covid_period_z	-2.643368	0.388667	-3.405155	-1.881581	negative	26	10	831	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	Intercept	-6.706090	nan	nan	nan	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	dtp3_coverage_z	-1.034539	0.669981	-2.347701	0.278623	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	log1p_reported_cases_z	-0.115093	1.118672	-2.307690	2.077503	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	log1p_genomes_per_case_z	-9.064511	5.881396	-20.592048	2.463026	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	years_since_ap_anchor_z	2.787229	0.485836	1.834989	3.739468	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	prn_formulation_score_z	-57.890936	nan	nan	nan	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	booster_score_z	59.798803	nan	nan	nan	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	primary_ap_indicator_z	6.587792	7.800126	-8.700454	21.876039	positive	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	JPN	post_covid_period_z	-8.722007	nan	nan	nan	negative	26	10	828	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	Intercept	-9.889099	0.594097	-11.053528	-8.724670	negative	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	dtp3_coverage_z	1.504166	1.227642	-0.902011	3.910344	positive	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	log1p_reported_cases_z	2.700743	0.475221	1.769309	3.632177	positive	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	log1p_genomes_per_case_z	-14.742839	0.897681	-16.502294	-12.983384	negative	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	years_since_ap_anchor_z	4.956862	0.209772	4.545709	5.368014	positive	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	prn_formulation_score_z	-43.593816	5.621173	-54.611316	-32.576316	negative	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	booster_score_z	47.244350	4.960683	37.521411	56.967289	positive	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	primary_ap_indicator_z	4.365549	1.448749	1.526001	7.205098	positive	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	NZL	post_covid_period_z	-3.251748	0.213545	-3.670297	-2.833199	negative	24	10	814	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	Intercept	-2.455223	nan	nan	nan	negative	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	dtp3_coverage_z	2.364095	5.084222	-7.600980	12.329170	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	log1p_reported_cases_z	4.137287	4.281184	-4.253834	12.528408	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	log1p_genomes_per_case_z	6.381185	8.479937	-10.239492	23.001862	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
