row_type	comparison_id	country_iso3	country_name	previous_epoch_id	next_epoch_id	previous_epoch_label	next_epoch_label	dropped_block_id	dropped_block_level	dropped_block_size_combined	dropped_block_is_dominant_previous_epoch	dropped_block_is_dominant_next_epoch	dropped_block_is_dominant_any	previous_n_total_samples	previous_n_interpretable	previous_n_disrupted	previous_naive_prevalence	previous_block_equalized_prevalence	previous_n_total_blocks	previous_n_interpretable_blocks	previous_n_subblocks	next_n_total_samples	next_n_interpretable	next_n_disrupted	next_naive_prevalence	next_block_equalized_prevalence	next_n_total_blocks	next_n_interpretable_blocks	next_n_subblocks	delta_naive_prevalence	delta_block_equalized_prevalence	delta_naive_sign	delta_block_equalized_sign	direction_matches_observed_naive	direction_matches_observed_block_equalized	n_bootstrap_replicates	previous_subblock_count	next_subblock_count	previous_base_block_count	next_base_block_count	observed_previous_naive_prevalence	observed_next_naive_prevalence	observed_delta_naive_prevalence	bootstrap_previous_naive_prevalence_median	bootstrap_next_naive_prevalence_median	bootstrap_delta_naive_prevalence_median	bootstrap_delta_naive_prevalence_lower_95	bootstrap_delta_naive_prevalence_upper_95	bootstrap_delta_naive_sign_flip_fraction	bootstrap_delta_naive_non_estimable_fraction	observed_previous_block_equalized_prevalence	observed_next_block_equalized_prevalence	observed_delta_block_equalized_prevalence	bootstrap_previous_block_equalized_prevalence_median	bootstrap_next_block_equalized_prevalence_median	bootstrap_delta_block_equalized_prevalence_median	bootstrap_delta_block_equalized_prevalence_lower_95	bootstrap_delta_block_equalized_prevalence_upper_95	bootstrap_delta_block_equalized_sign_flip_fraction	bootstrap_delta_block_equalized_non_estimable_fraction	dominant_block_id	dominant_block_level	dominant_block_removed_delta_naive_prevalence	dominant_block_removed_delta_block_equalized_prevalence	study_dependence_call	notes
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB37898	study_accession	12.0	False	False	False	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	40.0	18.0	2.0	0.1111111111111111	0.08333333333333333	5.0	3.0	20.0	-0.10628019323671498	-0.125	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJEB18624	study_accession	12.0	False	False	False	18.0	11.0	5.0	0.45454545454545453	0.3125	2.0	2.0	15.0	52.0	28.0	2.0	0.07142857142857142	0.0625	6.0	4.0	21.0	-0.3831168831168831	-0.25	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB7578	bioproject_accession	11.0	False	False	False	27.0	20.0	5.0	0.25	0.3125	2.0	2.0	24.0	44.0	20.0	2.0	0.1	0.08333333333333333	5.0	3.0	15.0	-0.15	-0.22916666666666669	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB35593	bioproject_accession	8.0	False	False	False	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	44.0	20.0	0.0	0.0	0.0	5.0	3.0	15.0	-0.21739130434782608	-0.20833333333333334	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB20292	study_accession	2.0	False	False	False	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	50.0	28.0	2.0	0.07142857142857142	0.0625	5.0	4.0	20.0	-0.14596273291925466	-0.14583333333333334	decrease	decrease	True	True																															
leave_one_out	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	PRJDB34249	study_accession	2.0	False	False	False	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	50.0	26.0	2.0	0.07692307692307693	0.08333333333333333	5.0	3.0	20.0	-0.14046822742474915	-0.125	decrease	decrease	True	True																															
observed	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN				False	False	False	30.0	23.0	5.0	0.21739130434782608	0.20833333333333334	3.0	3.0	27.0	52.0	28.0	2.0	0.07142857142857142	0.0625	6.0	4.0	21.0	-0.14596273291925466	-0.14583333333333334	decrease	decrease	True	True																															
leave_one_out	NZL:nzl_wp_only->nzl_ap_with_prn	NZL	New Zealand	nzl_wp_only	nzl_ap_with_prn	Long whole-cell schedule era	Acellular schedule era with PRN-containing products	PRJNA556977	bioproject_accession	63.0	True	True	True	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0			non_estimable	non_estimable	False	False																															
observed	NZL:nzl_wp_only->nzl_ap_with_prn	NZL	New Zealand	nzl_wp_only	nzl_ap_with_prn	Long whole-cell schedule era	Acellular schedule era with PRN-containing products				False	False	False	12.0	12.0	0.0	0.0	0.0	1.0	1.0	12.0	51.0	51.0	23.0	0.45098039215686275	0.45098039215686275	1.0	1.0	19.0	0.45098039215686275	0.45098039215686275	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA279196	bioproject_accession	854.0	False	True	True	14.0	12.0	6.0	0.5	0.16666666666666666	4.0	4.0	11.0	74.0	71.0	26.0	0.36619718309859156	0.3263736263736264	24.0	24.0	35.0	-0.13380281690140844	0.15970695970695972	decrease	increase	False	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA266616	bioproject_accession	35.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	884.0	861.0	513.0	0.5958188153310104	0.33614996114996115	24.0	24.0	50.0	0.31010452961672474	0.20281662781662782	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJEB2274	bioproject_accession	27.0	True	False	True	12.0	12.0	0.0	0.0	0.0	4.0	4.0	10.0	903.0	883.0	520.0	0.5889014722536806	0.3323953823953824	24.0	24.0	50.0	0.5889014722536806	0.3323953823953824	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA1215303	bioproject_accession	2.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	917.0	894.0	526.0	0.5883668903803132	0.35162615162615163	24.0	24.0	54.0	0.3026526046660275	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA231221	bioproject_accession	1.0	False	False	False	22.0	20.0	6.0	0.3	0.16666666666666666	4.0	4.0	17.0	919.0	896.0	526.0	0.5870535714285714	0.3375611055611056	25.0	25.0	56.0	0.2870535714285714	0.17089443889443892	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA237095	bioproject_accession	1.0	False	False	False	22.0	20.0	6.0	0.3	0.16666666666666666	4.0	4.0	17.0	919.0	896.0	526.0	0.5870535714285714	0.3375611055611056	25.0	25.0	56.0	0.2870535714285714	0.17089443889443892	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	PRJNA998821	bioproject_accession	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN02470082	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867627	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867628	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867629	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867630	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867631	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867632	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867633	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867634	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867635	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867636	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867637	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04867638	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN04994865	sample_id_canonical_singleton	1.0	False	False	False	22.0	20.0	6.0	0.3	0.16666666666666666	4.0	4.0	17.0	919.0	896.0	526.0	0.5870535714285714	0.3375611055611056	25.0	25.0	56.0	0.2870535714285714	0.17089443889443892	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN05948795	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN08136983	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN08136984	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN08395646	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN10176220	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN12523731	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	526.0	0.587709497206704	0.35162615162615163	24.0	24.0	55.0	0.30199521149241826	0.2182928182928183	increase	increase	True	True																															
leave_one_out	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure	singleton:SAMN18620756	sample_id_canonical_singleton	1.0	False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	918.0	895.0	525.0	0.5865921787709497	0.30995948495948494	24.0	24.0	55.0	0.300877893056664	0.1766261516261516	increase	increase	True	True																															
observed	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure				False	False	False	23.0	21.0	6.0	0.2857142857142857	0.13333333333333333	5.0	5.0	18.0	919.0	896.0	526.0	0.5870535714285714	0.3375611055611056	25.0	25.0	56.0	0.3013392857142857	0.20422777222777225	increase	increase	True	True																															
	AUS:aus_wp_only->aus_ap_with_prn	AUS	Australia	aus_wp_only	aus_ap_with_prn	Whole-cell era	All-dose acellular era with PRN exposure																													1000.0	9.0	20.0	1.0	6.0	0.6153846153846154	0.32	-0.2953846153846154	0.6153846153846154	0.32	-0.2954195804195804	-0.5961174242424243	0.019246797345269222	0.039	0.0	0.6153846153846154	0.3055555555555555	-0.3098290598290599	0.6153846153846154	0.3	-0.30782342657342654	-0.6143131868131868	0.0016233766233765842	0.027	0.0	PRJEB2274	bioproject_accession			study_dominated_or_reversed	Subblock bootstrap uses metadata-defined outbreak proxy blocks sampled with replacement within each epoch.
	JPN:jpn_pre2012_mixed_ap->jpn_ap_without_prn	JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN																													1000.0	27.0	21.0	3.0	6.0	0.21739130434782608	0.07142857142857142	-0.14596273291925466	0.20833333333333334	0.06896551724137931	-0.13405797101449274	-0.337485443406496	0.05196345321345319	0.091	0.0	0.20833333333333334	0.0625	-0.14583333333333334	0.20833333333333334	0.07407407407407407	-0.13492063492063494	-0.2916666666666667	0.028576839826839805	0.055	0.0	PRJDB20413	bioproject_accession	-0.14596273291925466	-0.14583333333333334	study_sensitive_directional_signal	Subblock bootstrap uses metadata-defined outbreak proxy blocks sampled with replacement within each epoch.
	NZL:nzl_wp_only->nzl_ap_with_prn	NZL	New Zealand	nzl_wp_only	nzl_ap_with_prn	Long whole-cell schedule era	Acellular schedule era with PRN-containing products																													1000.0	12.0	19.0	1.0	1.0	0.0	0.45098039215686275	0.45098039215686275	0.0	0.43137254901960786	0.43137254901960786	0.15779352226720647	0.6852124183006536	0.0	0.0	0.0	0.45098039215686275	0.45098039215686275	0.0	0.43137254901960786	0.43137254901960786	0.15779352226720647	0.6852124183006536	0.0	0.0	PRJNA556977	bioproject_accession			study_dominated_or_reversed	Subblock bootstrap uses metadata-defined outbreak proxy blocks sampled with replacement within each epoch.
	USA:usa_wp_only->usa_ap_prn_background	USA	United States	usa_wp_only	usa_ap_prn_background	Whole-cell routine vaccination era	Sustained acellular background with PRN exposure																													1000.0	18.0	56.0	5.0	25.0	0.2857142857142857	0.5870535714285714	0.3013392857142857	0.2777777777777778	0.5849534529908558	0.2988924972706618	0.04872715744689143	0.49999107258694997	0.012	0.0	0.13333333333333333	0.3375611055611056	0.20422777222777225	0.16666666666666666	0.34752251604475126	0.17510028519772486	-0.03661353991565339	0.33482067277036276	0.053	0.0	PRJNA279196	bioproject_accession	-0.13380281690140844	0.15970695970695972	study_dominated_or_reversed	Subblock bootstrap uses metadata-defined outbreak proxy blocks sampled with replacement within each epoch.
