model_id	analysis_cohort	response_variable	model_family	country_filter	year_window	n_country_year_cells	n_countries	covariates	random_effects	weighting_scheme	estimate_term	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	sensitivity_label	focal_exposure_family	excluded_country_iso3	notes	exposure_formula_id	exposure_lambda	exposure_gamma	exposure_delta_prn	uses_ipw_response
m7_primary_ipw_ap_exposure_v1_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v1_covariates	2000-2024	29	9	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	0.9559245884689129	0.3365869775719057	1.5752621993659202	0.0024847930595064747	0.0024847930595064747	primary_ap_exposure_v1	v1		workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v1_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	all_available_country_year_cells_with_complete_v1_covariates	2000-2024	29	9	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.1275340154954403	0.5019517410061033	1.7531162899847774	0.0004114081781145998	0.0005485442374861331	primary_ap_exposure_v1	v1		workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_legacy_dtp3_proxy_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	same_country_year_cells_as_primary_when_dtp3_present	2000-2024	29	9	dtp3_coverage_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	dtp3_coverage	log_odds	-2.233131630260015	-2.694079256224521	-1.7721840042955088	2.1911230018534738e-21	4.3822460037069476e-21	legacy_dtp3_proxy	dtp3		legacy_proxy_model_for_comparison_only;DTP3_not_interpreted_as_mechanistic_selection_pressure	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_legacy_dtp3_proxy_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	same_country_year_cells_as_primary_when_dtp3_present	2000-2024	29	9	dtp3_coverage_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	1.9375981388268495	1.5648982346679672	2.310298042985732	2.204912525577828e-24	8.819650102311313e-24	legacy_dtp3_proxy	dtp3		legacy_proxy_model_for_comparison_only;DTP3_not_interpreted_as_mechanistic_selection_pressure	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_legacy_dtp3_proxy_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	same_country_year_cells_as_primary_when_dtp3_present	2000-2024	29	9	dtp3_coverage_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	2.0045860040444925	1.1395926080900898	2.869579399998895	5.5665434391048285e-06	7.422057918806438e-06	legacy_dtp3_proxy	dtp3		legacy_proxy_model_for_comparison_only;DTP3_not_interpreted_as_mechanistic_selection_pressure	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_legacy_dtp3_proxy_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	same_country_year_cells_as_primary_when_dtp3_present	2000-2024	29	9	dtp3_coverage_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	-0.9171808985067411	-1.709723740141109	-0.12463805687237328	0.023314798979556607	0.023314798979556607	legacy_dtp3_proxy	dtp3		legacy_proxy_model_for_comparison_only;DTP3_not_interpreted_as_mechanistic_selection_pressure	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v3_score	log_odds	0.9553874273559334	-1.5236702278146241	3.4344450825264907	0.4500382413117384	0.4500382413117384	cluster_robust_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	2.0000669410654943	0.14905265513851984	3.851081226992469	0.034189576603915625	0.1367583064156625	cluster_robust_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	3.8308454252553528	-2.3723773630934124	10.034068213604119	0.22612073245135422	0.34564975460878494	cluster_robust_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v3_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	29	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.6077595568787777	-1.18538082866548	4.4008999424230355	0.2592373159565887	0.34564975460878494	cluster_robust_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v2_score	log_odds	1.423117942105261	-0.7855430260224361	3.631778910232958	0.2066262216871787	0.2887591721528537	cluster_robust_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	1.8676648780839895	-0.35151867473052034	4.086848430898499	0.09903787424520398	0.2887591721528537	cluster_robust_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	3.2771523345984197	-3.660562007628329	10.214866676825169	0.354528751991967	0.354528751991967	cluster_robust_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_primary_ipw_ap_exposure_v2_cluster_robust	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_cluster_robust	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	29	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.7161694039588056	-1.0059207250653228	4.438259532982934	0.21656937911464025	0.2887591721528537	cluster_robust_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;cluster_robust_se_by_country	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v3_score	log_odds	-2.8215384704628743	-3.796601991123839	-1.8464749498019097	1.4143175261659584e-08	5.6572701046638336e-08	exclude_usa_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	-1.5836594887616149	-3.002542960119242	-0.16477601740398762	0.02869756411125488	0.03826341881500651	exclude_usa_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	-1.8477551086755908	-3.4710049014199864	-0.22450531593119494	0.0256758357843636	0.03826341881500651	exclude_usa_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	-12.07592364583381	-27.17920905064301	3.02736175897539	0.11708432848366816	0.11708432848366816	exclude_usa_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v2_score	log_odds	-2.822117298735811	-3.8202182352601155	-1.8240163622115069	2.9925113841468475e-08	1.197004553658739e-07	exclude_usa_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	-2.7155678899936184	-4.29459007012624	-1.1365457098609963	0.0007495970894497846	0.000999462785933046	exclude_usa_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	0.5166881309395348	-0.6339127630717885	1.667289024950858	0.3787745910488256	0.3787745910488256	exclude_usa_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_usa_ap_exposure_v2_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country=USA	2012-2024	11	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	-31.528173483674152	-45.8288272694254	-17.2275196979229	1.5522057121094887e-05	3.1044114242189774e-05	exclude_usa_ap_exposure_v2	v2		workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;explicit_exclusion=USA	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_post2020_china_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country_year_subset=CHN_year_ge_2021	2000-2024	26	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	ap_exposure_v3_score	log_odds	0.9058037771448096	0.6634858999708988	1.1481216543187205	2.3599790331417546e-13	3.146638710855673e-13	exclude_post2020_china_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=proxy_for_mr_dominant_post2020_china_rows	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_post2020_china_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country_year_subset=CHN_year_ge_2021	2000-2024	26	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	log1p_reported_cases_z	log_odds	2.120000537414329	1.729512540735497	2.5104885340931613	1.9196043447718968e-26	7.678417379087587e-26	exclude_post2020_china_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=proxy_for_mr_dominant_post2020_china_rows	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_post2020_china_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country_year_subset=CHN_year_ge_2021	2000-2024	26	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	post_covid_period	log_odds	3.6773668511114384	2.904678856096087	4.45005484612679	1.0788028794358528e-20	2.1576057588717055e-20	exclude_post2020_china_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=proxy_for_mr_dominant_post2020_china_rows	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
m7_exclude_post2020_china_ap_exposure_v3_glm	C_IPW	ipw_prn_disrupted_prevalence	statsmodels_glm_binomial_no_random_effects	exclude_country_year_subset=CHN_year_ge_2021	2000-2024	26	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	not_fit	ipw_grouped_binomial_trials	genomes_per_case_z	log_odds	1.6687323034340211	1.0016987855059247	2.3357658213621173	9.420401397869913e-07	9.420401397869913e-07	exclude_post2020_china_ap_exposure_v3	v3		workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=1.000;explicit_exclusion=proxy_for_mr_dominant_post2020_china_rows	v1_lambda_1_gamma_0.5	1.0	0.5	1.0	True
